classement,artiste,artiste_2,artiste_3,artiste_4,titre,editeur,annee,semaine,producer_1,producer_2,writer_1,writer_2,release_date,sample_type,sample_from
36,GLASS ANIMALS,,,,HEAT WAVES,VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC,2022,1,Dave Bayley,,Dave Bayley,,2020-06-29,sample,Guess What’s Back - David0Mario
37,KOBA LAD,,,,DOUDOU,CAPITOL MUSIC FRANCE / MILLENIUM,2022,1,HRNN,Noxious,Naps,Koba LaD,2021-12-09,,
38,COLDPLAY,BTS,,,MY UNIVERSE,WARNER / PARLOPHONE UK,2022,1,Max Martin,Oscar Holter,Guy Berryman,Jonny Buckland,2021-09-24,sample,(venus) - 金星 - d e l g a d o 悲伤 (Delgado Shiiro)
39,NINHO,,,,OUTRO,REC. 118 / MAL LUNE MUSIC,2022,1,Mehdi Nine,,Ninho,,2019-03-22,sample,Down In Flames - Ella Vos
40,LE CLASSICO ORGANISÉ,,,,CŒUR DE PIRATE,BELIEVE / RIEN 100 RIEN,2022,1,Toto Beats,Nass Prod,Thabiti,SAF,2021-11-05,,
41,GAZO,,,,MAUVAIS 2X,SONY MUSIC ENTERTAINMENT / BSB PROD,2022,1,Nardey,Shiruken Music,Gazo,Ninho,2021-11-19,,
42,IMAGINE DRAGONS,,,,WRECKED,POLYDOR / INTERSCOPE RECORDS,2022,1,Imagine Dragons,,Dan Reynolds,Wayne Sermon,2021-07-02,,
43,KUNGS,,,,NEVER GOING HOME,ISLAND DEF JAM,2022,1,Boys Noize,Kungs,MNDR,Peter Wade,2021-05-21,interpolation,Idol - Mind Enterprises
44,NISKA,,,,N.I,CAPITOL MUSIC FRANCE / MILLENIUM,2022,1,Noxious,,Ninho,Niska,2021-11-03,interpolation,Le monde est méchant - Niska
45,SHOUSE,,,,LOVE TONIGHT,HELL BEACH,2022,1,Shouse,,Jack Madin,Ed Service,2017-12-14,sample,Du-Bye - Digga D
46,ORELSAN,,,,DU PROPRE,WAGRAM / WAGRAM MUSIC / 3ÈME BUREAU,2022,1,Skread,,OrelSan,,2021-11-19,,
47,PLK FT OBOY,,,,ATTENTAT FEAT.OBOY,PANENKA,2022,1,,,,,,,
48,THE WEEKND,,,,BLINDING LIGHTS,ISLAND DEF JAM / UNIVERSAL MUSIC,2022,1,The Weeknd,Max Martin,The Weeknd,Oscar Holter,2019-11-29,sample,Pulsar City Alarm - Adams & Fleisner
49,JUL,,,,LA MISS,BELIEVE / D'OR ET DE PLATINE,2022,1,Kakou,,JuL,,2021-12-10,,
50,STROMAE,,,,SANTÉ,POLYDOR,2022,1,Juanpaio Toch,Moon Willis,Stromae,Moon Willis,2021-10-15,,
51,NINHO,,,,LA MAISON QUE JE VOULAIS,REC. 118 / MAL LUNE MUSIC,2022,1,Ani Beatz,,Ninho,,2021-12-03,,
52,NINHO,,,,MOOD,REC. 118 / MAL LUNE MUSIC,2022,1,Kubix (Producer),LVDR,Ninho,,2021-12-03,,
53,HORNET LA FRAPPE,NINHO,,,GASOLINA,REC. 118 / DIEZ PEUFRA,2022,1,Ani Beatz,CG Flow,Ninho,Hornet La Frappe,2021-08-27,,
54,THE WEEKND,,,,SAVE YOUR TEARS,ISLAND DEF JAM / UNIVERSAL MUSIC,2022,1,The Weeknd,Max Martin,The Weeknd,Belly,2020-03-20,sample,Pain - Leeky G Bando
55,DUA LIPA,,,,FEVER,WARNER / WARNER RECORDS,2022,1,Ian Kirkpatrick,Tristan Salvati,Dua Lipa,Julia Michaels,2020-10-29,sample,Doing Fine - Synnie
56,KOBA LAD,,,,DADDY CHOCOLAT,CAPITOL MUSIC FRANCE / MILLENIUM,2022,1,FD Prod,Chapo,Gazo,Koba LaD,2021-06-18,interpolation,Aller sans retour - Zola
57,KIM,,,,LOVE & LOVÉ,BELIEVE / HORION,2022,1,,,,,,,
58,OFENBACH,,,,HURRICANE,WARNER / ELEKTRA FRANCE,2022,1,Quarterhead,Ofenbach,Ella Henderson,Mark B,2021-09-17,,
59,NINHO,,,,ATHÉNA,REC. 118 / MAL LUNE MUSIC,2022,1,Daimo Beats,,Ninho,,2021-12-03,,
60,SOSO MANESS,,,,PETROUCHKA,RCA GROUP,2022,1,Junior Alaprod,,PLK,Soso Maness,2021-06-04,interpolation,SUMMER 2021 - L.E.J
61,JASON DERULO,,,,ACAPULCO,WARNER / ATLANTIC RECORDS,2022,1,Saltwives,Punctual,Madison Love,Will Lansley,2021-09-03,sample,El Mismo Sol - Alvaro Soler
62,LIL NAS X,,,,THATS WHAT I WANT,SONY MUSIC ENTERTAINMENT / COLUMBIA,2022,1,Ryan Tedder,KBeaZy,KBeaZy,Blake Slatkin,2021-09-17,sample,I Want Misery - Pluffaduff
63,KALASH,GAZO,,,TU LE SAIS,BELIEVE / PLAY TWO,2022,1,Malibu Beatz,Bouba No Time,Gazo,Kalash,2021-07-23,,
64,CLARA LUCIANI,,,,RESPIRE ENCORE,ROMANCE MUSIQUE,2022,1,Pierrick Devin,Breakbot,Sage,Clara Luciani,2021-06-11,,
65,ROSALÍA,,,,LA FAMA,SONY MUSIC ENTERTAINMENT / COLUMBIA,2022,1,The Weeknd,ROSALÍA,El Guincho,Noah Goldstein,2021-11-11,interpolation,TOTO - Karmen (FRA)
66,GIMS,VITAA,,,PRENDS MA MAIN,SONY MUSIC ENTERTAINMENT / PLAY TWO,2022,1,Renaud Rebillaud,,Vitaa,GIMS,2021-10-08,,
67,GRAND CORPS MALADE,,,,NOS PLUS BELLES ANNÉES,VIRGIN RECORDS FRANCE / ANOUCHE PRODUCTIONS,2022,1,Mosimann,,Grand Corps Malade,Kimberose,2021-09-02,,
68,TINLICKER,,,,BECAUSE YOU MOVE ME,SONY MUSIC ENTERTAINMENT / B1,2022,1,Thomas Helsloot,Jordi van Achthoven,Yael Watchman,Thomas Helsloot,2017-07-31,,
69,TIAKOLA,,,,LA CLÉ,SONY MUSIC ENTERTAINMENT / WATI-B,2022,1,Boumidjal,D1gri,Tiakola,Boumidjal,2021-12-23,,
70,NINHO,,,,YSL,REC. 118 / MAL LUNE MUSIC,2022,1,Young KO,,Ninho,,2021-12-03,,
71,SWEDISH HOUSE MAFIA,,,,MOTH TO A FLAME,ISLAND DEF JAM / UNIVERSAL MUSIC,2022,1,Swedish House Mafia,Desembra,Axwell,Steve Angello,2021-10-22,sample,CURA DI TE - Voga
72,NISKA,,,,44,CAPITOL MUSIC FRANCE / MILLENIUM,2022,1,SHK,Nardey,Niska,SHK,2021-11-05,,
73,NINHO,,,,RER D,REC. 118 / MAL LUNE MUSIC,2022,1,Voluptyk,,Ninho,,2021-12-03,,
