classement,artiste,artiste_2,artiste_3,artiste_4,titre,editeur,annee,semaine,producer_1,producer_2,writer_1,writer_2,release_date,sample_type,sample_from
1,JUNGELI,,,,PETIT GÉNIE,"CAPITOL MUSIC FRANCE / NEXT GÉNÉRATION, 2054 RECORDS, FULGU PROD",2024,1,DJ Wiils,,Jungeli,Abou Debeing,2023-08-04,,
2,SOOLKING,,,,CASANOVA,CAPITOL MUSIC FRANCE / LAOBAN INTERNATIONAL / PANDOR,2024,1,Voluptyk,Nass Brans,Soolking,Gazo,2023-07-06,sample,1er Gaou - Magic System
3,FAVÉ,,,,FLASHBACK,BELIEVE / 109 RECORD / MORNING GLORY MUSIC / BELIEVE,2024,1,DJ Bellek,Sam Tiba,Gazo,Favé (FRA),2023-09-15,,
4,KEBLACK,,,,LAISSE MOI,BELIEVE / MOTEMA RECORDS,2024,1,Seny Silva,Maximilien Silva,KeBlack,,2023-09-08,,
5,IÑIGO QUINTERO,,,,SI NO ESTÁS,BELIEVE / ACQUSTIC,2024,1,iñigo quintero,,iñigo quintero,,2022-09-23,sample,Wenn du lächelst - Milano
6,JUL,SDM,,,J'FAIS PLAISIR À LA ZONE,BELIEVE / D'OR ET DE PLATINE,2024,1,Boumidjal,HoloMobb,JuL,SDM,2023-12-08,,
7,DADJU,TAYC,,,I LOVE YOU,BELIEVE / PLAY TWO,2024,1,Nyadjiko,Yannick Péraste,Dadju,Tayc,2023-12-08,,
8,TATE MCRAE,,,,GREEDY,SONY MUSIC ENTERTAINMENT / RCA RECORDS LABEL,2024,1,Ryan Tedder,Jasper Harris,Tate McRae,Amy Allen,2023-09-15,sample,Promiscuous - Nelly Furtado
9,SANTA,,,,POPCORN SALÉ,WARNER / PARLOPHONE (FRANCE),2024,1,,,,,2022-03-25,,
10,HEUSS L'ENFOIRÉ,GAZO,,,SAIYAN,BELIEVE / 150 PROD / STRAW PRODUCTION,2024,1,Zeg P,,Gazo,Heuss L’enfoiré,2023-06-02,sample,COWBOY RACISTE - Madi Polochon (crazy 🕺🪩)
11,YAMÊ,,,,BÉCANE - A COLORS SHOW,COLORSXSTUDIOS,2024,1,Yamê (FRA),Pandrezz,Yamê (FRA),,2023-06-02,,
12,DUA LIPA,,,,HOUDINI,WEA / WARNER RECORDS,2024,1,Danny L Harle,Kevin Parker,Dua Lipa,Caroline Ailin,2023-11-09,interpolation,Demeanor - Pop Smoke
13,GAZO,TIAKOLA,,,NOTRE DAME,BSB PROD / M3LO WORLD / WATI B,2024,1,SHK,Eliasodt (Elias),Gazo,Tiakola,2023-12-01,,
14,SDM,,,,BOLIDE ALLEMAND,CAPITOL MUSIC FRANCE / CAPITOL,2024,1,Berry Prod,Yopsy,SDM,Berry Prod,2022-12-02,interpolation,Rihanna - SDM
15,JUL,,,,BEUH D'HOLLANDE,BELIEVE / D'OR ET DE PLATINE,2024,1,JuL,,JuL,,2023-12-08,,
16,MILEY CYRUS,,,,FLOWERS,SONY MUSIC ENTERTAINMENT / COLUMBIA,2024,1,Kid Harpoon,Tyler Johnson,Miley Cyrus,Michael Pollack,2023-01-13,sample,Couldn’t Leave: Summer 2023 Megamix - Joseph James (DJ)
17,DOJA CAT,,,,PAINT THE TOWN RED,SONY MUSIC ENTERTAINMENT / KEMOSABE RECORDS/RCA RECORDS,2024,1,Earl on the Beat,Karl Rubin,Doja Cat,DJ Replay,2023-08-04,sample,Walk On By - Dionne Warwick
18,OFENBACH,NORMA JEAN MARTINE,,,OVERDRIVE,WARNER / ELEKTRA FRANCE,2024,1,Jen Jis,Ofenbach,Alexander Hauer,César Laurent de Rummel,2023-10-06,interpolation,Cambodia - Kim Wilde
19,SIA,,,,GIMME LOVE,WEA / ATLANTIC RECORDS,2024,1,Jesse Shatkin,,Sia,Jesse Shatkin,2023-09-13,interpolation,Lighthouse - Georgia Ku
20,TEDDY SWIMS,,,,LOSE CONTROL,WEA / WARNER RECORDS,2024,1,Ammo,Julian Bunetta,Teddy Swims,Ammo,2023-06-23,interpolation,United State of Pop 2024 (Blame It On The Whiskey) - DJ Earworm
21,LOREEN,,,,TATTOO,ONE RECORDS / POLYDOR,2024,1,Thomas G:son,Peter Boström,Loreen,Cazzi Opeia,2023-02-25,sample,Tattoo - Malin Akerman
22,DUA LIPA,,,,DANCE THE NIGHT,WEA / ATLANTIC RECORDS,2024,1,Mark Ronson,Picard Brothers,Dua Lipa,Andrew Wyatt,2023-05-26,sample,Forget Me Nots - Patrice Rushen
23,JUL,PLK,,,POSTICHÉ,BELIEVE / D'OR ET DE PLATINE,2024,1,Mehsah,,JuL,PLK,2023-12-08,,
24,BENNETT,,,,VOIS SUR TON CHEMIN,WEA / WARNER MUSIC CENTRAL EUROPE,2024,1,,,,,2004-01-01,,
25,SHAY,NISKA,,,SANS COEUR,BECAUSE / JOLIE GARCE RECORDS / BECAUSE MUSIC,2024,1,Shay,Jo A Touch,Shay,Niska,2023-11-10,,
26,MERVEILLE,,,,CITADELLE,MERVEILLE,2024,1,Zafy,Gaby (FRA),Merveille,,2023-12-22,sample,DEO - JDK Johnny
27,REMA,,,,CALM DOWN,VIRGIN MUSIC FRANCE / MAVIN RECORDS / JONZING WORLD,2024,1,Andre Vibez,ThisizLondon,Rema,,2022-02-11,sample,Drake Bussy - Fetus Blasters
28,KENYA GRACE,,,,STRANGERS,WEA / WARNER RECORDS/MAJOR RECORDINGS,2024,1,Kenya Grace,,Kenya Grace,,2023-09-01,sample,л0маYOU (⁠´⁠∩⁠｡⁠•⁠ ⁠ᵕ⁠ ⁠•⁠｡⁠∩⁠`⁠) - N0TINIGΛMI
29,TIAKOLA,,,,MEUDA,WATI-B,2024,1,Oath (NLD),,Tiakola,Oath (NLD),2022-05-27,sample,"M3lo, Meuda et So Bad (Tiakola Remix) - Iverstar $"
30,DAVE/TIAKOLA,,,,MERIDIAN,VIRGIN MUSIC FRANCE / NEIGHBOURHOOD RECORDINGS,2024,1,,,,,2023-08-24,,
31,PLK,,,,PÉRIPH,PANENKA MUSIC,2024,1,Lucci’ (FRA),,PLK,,2023-12-15,,
32,GAZO,TIAKOLA,,,CARTIER,BSB PROD / M3LO WORLD / WATI B,2024,1,SHK,,Gazo,Tiakola,2023-12-01,,
33,CASSÖ,RAYE,D-BLOCK EUROPE,,PRADA,SONY MUSIC ENTERTAINMENT / B1,2024,1,cassö,,RAYE,Adam Williams,2023-08-10,,
34,MACKLEMORE AND RYAN LEWIS,RAY DALTON,,,CAN'T HOLD US,CATALOGUE MARKETING CLASSIQUE / WEA,2024,1,,,,,2011-08-16,,
