classement,artiste,artiste_2,artiste_3,artiste_4,titre,editeur,annee,semaine,producer_1,producer_2,writer_1,writer_2,release_date,sample_type,sample_from
35,TYLA,,,,WATER,SONY MUSIC ENTERTAINMENT / FAX RECORDS/EPIC,2024,1,Sammy Soso,Rayo,Tyla,Sammy Soso,2023-07-28,sample,Without My Heart - TDG
36,DAVID KUSHNER,,,,DAYLIGHT,VIRGIN MUSIC FRANCE / VIRGIN MUSIC,2024,1,Rob Kirwan,,Livingston,Boon,2023-04-14,sample,Last Time - Eli Youngblood
37,GALA,,,,FREED FROM DESIRE,BELIEVE / DO IT YOURSELF,2024,1,Molella,Phil Jay,Gala,Molella,1996-10-23,sample,3 ÉTOILES - Yanslo
38,TOM ODELL,,,,ANOTHER LOVE,COLUMBIA / ITNO/COLUMBIA,2024,1,Dan Grech-Marguerat,,Tom Odell,,2012-10-15,sample,Daleko stąd - Gospel
39,CÉLINE DION,,,,J'IRAI OÙ TU IRAS,SONY MUSIC ENTERTAINMENT / COLUMBIA,2024,1,Jean-Jacques Goldman,,Jean-Jacques Goldman,,1995-03-30,,
40,SATIVAMUSIC,MORAD,GIMS,,SEYA,BELIEVE / SATIVA MUSIC,2024,1,Renaud Rebillaud,,Morad,GIMS,2023-10-06,,
41,LOUISE ATTAQUE,,,,J'T'EMMÈNE AU VENT,LABEL PANTHEON / BARCLAY,2024,1,Gordon Gano,Warren Bruleigh,Gaëtan Roussel,,0997-04-22,interpolation,Artificiel - DJ Erise
42,DAVID GUETTA,,,,I'M GOOD,WARNER / PARLOPHONE UK,2024,1,,,,,,,
43,JOGGA,WILSKO,7IA,,SKEU SKEU,WARNER / ELEKTRA FRANCE,2024,1,Mr. Punisher,Swoosha,Wilsko,7ia,2023-09-20,,
44,ZARA LARSSON,,,,ON MY LOVE,SONY MUSIC ENTERTAINMENT / SOMMER HOUSE/EPIC,2024,1,David Guetta,Giorgio Tuinfort,Zara Larsson,David Guetta,2023-09-15,,
45,JOSEPH KAMEL,,,,CELUI QUI PART,SONY MUSIC ENTERTAINMENT / COLUMBIA,2024,1,Alban Lico,,Joseph Kamel,Léo Chatelier,2023-06-09,,
46,WERENOI,,,,LABORATOIRE,BELIEVE / PGP RECORDS,2024,1,Evi Beats,,Werenoi,Evi Beats,2023-03-10,,
47,HARRY STYLES,,,,AS IT WAS,SONY MUSIC ENTERTAINMENT / COLUMBIA,2024,1,Tyler Johnson,Kid Harpoon,Kid Harpoon,Tyler Johnson,2022-04-01,sample,Take on Me - a-ha
48,SLIMANE,,,,MON AMOUR,CAPITOL MUSIC FRANCE / NOE MUSIC,2024,1,Yaacov Salah,Meïr Salah,Slimane,Meïr Salah,2023-11-08,sample,​dans les balles - ​abel31
49,INDOCHINE,,,,L'AVENTURIER,RCA GROUP / INDOCHINE RECORDS,2024,1,Patrick Chevalot,​Patrick Le Morvan,Nicola Sirkis,,1982-11-15,,
50,VIANNEY,ZAZIE,,,COMMENT ON FAIT,BELIEVE / TÔT OU TARD,2024,1,Vianney,Zazie,Vianney,Zazie,2023-08-18,,
51,WERENOI,,,,CHEMIN D'OR,BELIEVE / PLR MUSIC / PGP RECORDS / ALLPOINTS,2024,1,Shiruken Music,,Werenoi,Shiruken Music,2023-03-10,,
52,KYO,COEUR DE PIRATE,,,DERNIÈRE DANSE,SONY MUSIC ENTERTAINMENT / RCA GROUP,2024,1,Kyo,François Delabrière,Kyo,,2003-04-18,sample,Clairvoyance - Hexakil
53,KOFS,SOSO MANESS,ELAMS,JUL,BANDE ORGANISÉE,BELIEVE / RIEN 100 RIEN,2024,1,JuL,,Solda (FRA),Elams,2020-08-15,sample,Jersey Drill #2 - Sto
54,KERCHAK,ZIAK,,,T'AIMERAIS,SONY MUSIC ENTERTAINMENT / LABEL BLUE SKY,2024,1,Lowonstage,Franklin (FRA),Kerchak,Ziak,2023-12-15,interpolation,Je te promets - Zaho
55,LA PETITE CULOTTE,CHICO,THE GYPSIES,,LA GOFFA LOLITA,WARNER / PARLOPHONE (FRANCE),2024,1,,,,,,,
56,GAZO,,,,100K,BSB PROD / M3LO WORLD / WATI B,2024,1,Flem,,Gazo,,2023-12-01,sample,200K - Tiakola
57,JOSMAN,,,,AILLEURS,SIDELINE,2024,1,MYSTR,S. lyre,Josman,,2023-10-28,,
58,THE WEEKND,,,,BLINDING LIGHTS,ISLAND DEF JAM / UNIVERSAL MUSIC,2024,1,The Weeknd,Max Martin,The Weeknd,Oscar Holter,2019-11-29,sample,Pulsar City Alarm - Adams & Fleisner
59,BECKY G,,,,ARRANCA,SONY MUSIC ENTERTAINMENT / KEMOSABE RECORDS/RCA RECORDS,2024,1,HoneyBoos,Alexander “A.C.” Castillo,Becky G,Omega El Fuerte,2023-03-10,,
60,AYRA STARR,,,,RUSH,MAVIN RECORDS,2024,1,Andre Vibez,Hoops,Ayra Starr,,2022-09-16,,
61,FARRUKO,,,,PEPAS,SONY MUSIC ENTERTAINMENT / RCA,2024,1,Sharo Towers,Ghetto,IAmChino,Juan Manuel Gomez,2021-06-24,sample,Dos Tres Trucos - Paola Suárez
62,DJADJA,DINAZ,,,AÏCHA,BELIEVE / CARRÉ MUSIC,2024,1,Douki,WMK,Djadja,Dinaz,2023-12-15,,
63,JUL,TIAKOLA,,,MINÉ SUR PANAME,BELIEVE / D'OR ET DE PLATINE,2024,1,Boumidjal,HoloMobb,JuL,Tiakola,2023-12-08,,
64,TRINIX,,,,THE MAGIC KEY,ORCHARD / PEOPLE WANT TO DANCE,2024,1,Trinix,,,,2023-04-07,,
65,LA PIG CHENILLISTE,,,,LA CHENILLE SYNCHRO,WARNER / PARLOPHONE (FRANCE),2024,1,Julien Comblat,,Vincent Piguet,,2023-10-24,,
66,PARTENAIRE PARTICULIER,,,,PARTENAIRE PARTICULIER,MCA / UMSM,2024,1,,,Éric Fettweiss,Pierre Béraud-Sudreau,,sample,Les Claviers - SUMMERGOD
67,ROSALÍA,,,,DESPECHÁ,SONY MUSIC ENTERTAINMENT / COLUMBIA,2024,1,Chris Jedi,Gaby Music,ROSALÍA,Chris Jedi,2022-07-28,sample,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56/66 - Bizarrap"
68,KENDJI GIRAC,VIANNEY,,,LE FEU,ISLAND DEF JAM,2024,1,Renaud Rebillaud,,Kendji Girac,Vianney,2022-11-11,,
69,EARTH,WIND,FIRE,,SEPTEMBER,SONY MUSIC ENTERTAINMENT / COLUMBIA/LEGACY,2024,1,,,,,,,
70,IMAGINE DRAGONS,,,,CHILDREN OF THE SKY,ONE RECORDS / INTERSCOPE RECORDS,2024,1,Mattman & Robin,Bethesda Softworks,Dan Reynolds,Wayne Sermon,2023-08-30,,
71,DAVID GUETTA,KID CUDI,,,MEMORIES,WARNER / PARLOPHONE (FRANCE),2024,1,,,,,,,
72,JECK,,,,PARAPLUIE,BELIEVE / PLAY TWO,2024,1,Erick Ness,,Erick Ness,Alex Keil,2023-08-24,,
73,PLK,,,,NOUVELLES,PANENKA MUSIC,2024,1,Senpaï Katchy,FREAKEY!,PLK,,2023-04-14,,
74,DAVID GUETTA,KIM PETRAS,,,WHEN WE WERE YOUNG,WARNER / PARLOPHONE UK,2024,1,David Guetta,T.I Jakke,David Guetta,T.I Jakke,2023-11-10,interpolation,The Logical Song - Supertramp
75,WERENOI,,,,TU CONNAIS,BELIEVE / ALLPOINTS,2024,1,Ovicalaprod,,Werenoi,Ovicalaprod,2023-09-22,interpolation,Chaud* - Werenoi
76,EURYTHMICS,,,,SWEET DREAMS,SONY MUSIC ENTERTAINMENT / SONY BMG MUSIC UK,2024,1,Adam Williams,David A. Stewart,David A. Stewart,Annie Lennox,1983-01-21,sample,Cocaine - Dice
77,JUL,ALONZO,,,LA FUSION,BELIEVE / D'OR ET DE PLATINE,2024,1,JuL,,JuL,Alonzo,2023-12-08,,
78,THE WEEKND,,,,SAVE YOUR TEARS,ISLAND DEF JAM / UNIVERSAL MUSIC,2024,1,The Weeknd,Max Martin,The Weeknd,Belly,2020-03-20,sample,Pain - Leeky G Bando
79,NAPS,,,,LA KIFFANCE,BELIEVE / OK MANY INDUSTRIE ET 13ÈME ART MUSIC,2024,1,Zeg P,,Naps,,2021-02-26,sample,OVER NOW - NickiMusic
80,NUIT INCOLORE,,,,DÉPASSÉ,CINQ 7,2024,1,Nuit incolore,,Nuit incolore,,2022-12-15,,
81,GAZO,,,,DIE,BSB PROD,2024,1,Dallas,,Gazo,Dallas,2022-07-01,interpolation,Where Did I Put That Thing? / Bibbidi-Bobbidi-Boo - Oliver Wallace
82,DAVID GUETTA,,,,BABY DON'T HURT ME,WARNER / PARLOPHONE UK,2024,1,David Guetta,Toby Green,David Guetta,Mike Hawkins,2023-04-07,interpolation,What Is Love? - Haddaway
83,JUL,,,,BATTISTU,BELIEVE / D'OR ET DE PLATINE,2024,1,Banshee (beatmaker),,JuL,,2023-12-08,,
84,LOUANE,,,,SECRET,ISLAND DEF JAM,2024,1,Tristan Salvati,,Louane,,2022-10-09,interpolation,Secret (sad orchestra) - Louane
85,JUL,,,,J'FAIS QUE DANSER,BELIEVE / D'OR ET DE PLATINE,2024,1,Mb Beats,,JuL,,2023-11-03,,
86,NINHO,AYRA STARR,,,NO LOVE,REC. 118 / JEFE PRODUCTIONS,2024,1,Manu Manu,Leveatz,Ninho,Ayra Starr,2023-06-30,,
87,PLK,,,,DEMAIN,PANENKA MUSIC,2024,1,Boumidjal,,PLK,,2023-04-14,,
88,BAD BUNNY,,,,MONACO,ORCHARD / RIMAS ENTERTAINMENT LLC,2024,1,MAG,La Paciencia,Bad Bunny,Charles Aznavour,2023-10-13,sample,Hier encore - Charles Aznavour
89,NINHO,CENTRAL CEE,,,EUROSTAR,REC. 118 / JEFE PRODUCTIONS,2024,1,Boumidjal,HoloMobb,Ninho,Central Cee,2023-06-30,,
90,GAZO,TIAKOLA,,,MAMI WATA,BSB PROD / M3LO WORLD / WATI B,2024,1,Nyadjiko,Shiruken Music,Gazo,Tiakola,2023-12-01,,
91,MARNIK/NAELECK/VINAI,,,,BOYZ IN PARIS,SONY MUSIC ENTERTAINMENT / SIGNATUNE,2024,1,Marnik,Naeleck,JAY-Z,Kanye West,2023-07-28,,
92,ONE REPUBLIC,,,,I AIN'T WORRIED,ONE RECORDS / UNIVERSAL MUSIC,2024,1,Ryan Tedder,Brent Kutzle,Björn Yttling,Tyler Spry,2022-05-13,sample,Young Folks - Peter Bjorn and John
93,NINHO,,,,LA VIE QU'ON MÈNE,REC. 118 / MAL LUNE MUSIC,2024,1,Chady,,Ninho,,2019-03-22,sample,Chagrin des bons moments - PSO Thug
94,THE BLACK EYED PEAS,,,,I GOTTA FEELING,POLYDOR / INTERSCOPE RECORDS,2024,1,,,,,,,
95,ROSALÍA,RAUW ALEJANDRO,,,BESO,SONY MUSIC ENTERTAINMENT / COLUMBIA RECORDS/DUARS ENTERTAINMENT/SONY MUSIC LATIN,2024,1,Noah Goldstein,Sir Dylan,ROSALÍA,Rauw Alejandro,2023-03-24,sample,Chakalitos - Angi Fire
96,DON OMAR,,,,DANZA KUDURO,MCA / UNIVERSAL MUSIC,2024,1,Lucenzo,Faouze Barkati,Don Omar,Lucenzo,2010-08-15,sample,Danza Kuduro - DJ Sanny J & Daniel Tek
97,A-HA,,,,TAKE ON ME,VIRGIN MUSIC FRANCE / UNIVERSAL MUSIC,2024,1,Alan Tarney,,Paul Waaktaar-Savoy,Morten Harket,1985-04-05,sample,1984 - The Hood Internet
98,VACRA,,,,TIKI TAKA,CARTHAGE MUSIC / CARTHAGE MUSIC / ARAI MUSIC,2024,1,MarvelPro,,Vacra,,2022-11-10,,
99,ZOKUSH,,,,1 2 3 4,VIRGIN MUSIC FRANCE / VIRGIN MUSIC,2024,1,Hoodstar,Prince d’Arabee,RK,Zokush,2023-06-23,,
100,WERENOI,,,,LA LEAGUE,BELIEVE / PGP RECORDS,2024,1,Robin Crollet,,Werenoi,,2021-03-03,,
101,LEWIS CAPALDI,,,,WISH YOU THE BEST EP,VIRGIN MUSIC FRANCE / UNIVERSAL MUSIC,2024,1,,,,,,,
102,BEYONCÉ,,,,CRAZY IN LOVE,SONY MUSIC ENTERTAINMENT / PARKWOOD ENTERTAINMENT/COLUMBIA,2024,1,Beyoncé,Rich Harrison,Beyoncé,JAY-Z,2003-05-18,sample,Are You My Woman? (Tell Me So) - The Chi-Lites
103,PLK,,,,ÉMOTIF,WAGRAM / PANENKA MUSIC,2024,1,,,Playboi Carti,,,interpolation,Paper - Playboi Carti
104,GAZO,,,,FLEURS,BSB PROD,2024,1,Shiruken Music,,Tiakola,Gazo,2022-07-01,,
105,LOUANE,,,,PARDONNE-MOI,ISLAND DEF JAM,2024,1,,,,,,,
106,JUL,,,,SENSATIONS,BELIEVE / D'OR ET DE PLATINE,2024,1,Boumidjal,,JuL,,2023-11-24,,
107,LYKKE LI,,,,I FOLLOW RIVERS,CATALOGUE MARKETING CLASSIQUE / WEA,2024,1,Björn Yttling,,Björn Yttling,Lykke Li,2011-01-21,sample,Scam from Nigeria - YUNG LIXO
108,SDM,,,,MR. OCHO,CAPITOL MUSIC FRANCE / CAPITOL,2024,1,H8MKRZ,,SDM,H8MKRZ,2022-12-02,,
109,GAULOIS,,,,JOLIE,SONY MUSIC ENTERTAINMENT / LA G CORP / TIENS TIENS RETIENS,2024,1,Atlas On The Track,Exi (FRA),GAULOIS,Ninho,2023-01-13,,
110,ABBA,,,,GIMME! GIMME! GIMME!,ONE RECORDS / POLYDOR,2024,1,,,,,,,
111,DAFT PUNK,PHARRELL WILLIAMS,NILE RODGERS,,GET LUCKY,COLUMBIA,2024,1,,,,,,,
112,SEXION D'ASSAUT,,,,WATI BY NIGHT,SONY MUSIC ENTERTAINMENT / JIVE EPIC,2024,1,Wisla,Renaud Rebillaud,GIMS,Black M,2010-03-23,interpolation,Chien d’la casse - Diddi Trix
113,JUL,,,,LA MÁQUINA,BELIEVE / D'OR ET DE PLATINE,2024,1,Kakou,,JuL,,2023-12-08,,
114,PURPLE DISCO MACHINE,KUNGS,,,SUBSTITUTION,ISLAND DEF JAM,2024,1,Purple Disco Machine,Kungs,Kungs,Purple Disco Machine,2023-03-30,interpolation,Big in Japan - Alphaville
115,STROMAE,,,,ALORS ON DANSE,ONE RECORDS / MOSAERT,2024,1,Stromae,,Stromae,,2009-09-26,sample,Bon Appétit - Kabe
116,NAPS,,,,C'EST CARRÉ LE S,BELIEVE / OK MANY INDUSTRIE / ALLPOINTS,2024,1,Shiruken Music,Kalif Hardcore,Naps,Ninho,2023-04-28,,
117,UN JOUR DE PAIX,PNL,,,GAZA,BELIEVE / QLF RECORDS,2024,1,Boumidjal,HoloMobb,Ademo,,2023-12-09,,
118,TRINIX,FAFÁ DE BELÉM,,,EMORIO,WEA / TRINIX MUSIC / WEA FRANCE,2024,1,,,,,,,
119,MICHAEL JACKSON,,,,BILLIE JEAN,SONY MUSIC ENTERTAINMENT / EPIC/LEGACY,2024,1,Michael Jackson,Quincy Jones,Michael Jackson,,1982-11-30,sample,Billie Jean Freestyle - DDG
120,AYA NAKAMURA,,,,BABY,WARNER / REC. 118,2024,1,Shiruken Music,Maximilien Silva,Aya Nakamura,,2023-01-12,,
121,ELTON JOHN,DUA LIPA,,,COLD HEART,VIRGIN MUSIC FRANCE / UNIVERSAL MUSIC,2024,1,GD8,,KayleeHazel,Elton John,2024-05-24,,
122,NO LIMIT,,,,LA RUE,SONY MUSIC ENTERTAINMENT / NO LIMIT PROD,2024,1,Phazz,,Gazo,Damso,2023-05-11,,
123,WERENOI,,,,SOLITAIRE,BELIEVE / PLR MUSIC & PGP RECORDS,2024,1,HuFel Beatz,,Werenoi,,2022-08-08,,
124,ZEG P,,,,FADE UP,BELIEVE / ON DA TRAX,2024,1,Zeg P,,SCH,Hamza,2022-06-24,,
125,K-MARO,,,,FEMME LIKE U,MCA / E47 RECORDS,2024,1,,,K. Maro,Louis Côté,,interpolation,Femme Like U (Extended) - K. Maro
126,SOOLKING,,,,SUAVEMENTE,CAPITOL MUSIC FRANCE / CAPITOL,2024,1,Scar (FRA),Voluptyk,Soolking,,2022-02-23,interpolation,Suavemente - Elvis Crespo
127,IMAGES,,,,LES DÉMONS DE MINUIT,CATALOGUE FLARENASCH,2024,1,,,Richard Seff,Stéphane Despres,,interpolation,Normal - Alonzo
128,PIERRE DE MAERE,,,,UN JOUR JE MARIERAI UN ANGE,WAGRAM / CINQ 7,2024,1,Marso (FRA),,Marso (FRA),Pierre de Maere,2021-11-08,,
129,KAARIS,,,,PANAMA,VIRGIN MUSIC FRANCE / OG RECORDS,2024,1,Ponko,,Kaaris,Hamza,2023-12-15,,
130,BEYONCÉ,,,,CUFF IT,COLUMBIA / PARKWOOD ENTERTAINMENT/COLUMBIA,2024,1,Beyoncé,NOVA WAV,Beyoncé,Raphael Saadiq,2022-07-29,sample,Square Biz - Teena Marie
131,JUL,NAZA,,,JUSTE UN BISOU,BELIEVE / D'OR ET DE PLATINE,2024,1,JuL,,JuL,Naza,2023-12-08,,
132,TAYLOR SWIFT,,,,CRUEL SUMMER,ISLAND DEF JAM / UNIVERSAL MUSIC,2024,1,Taylor Swift,Jack Antonoff,St. Vincent,Jack Antonoff,2019-08-23,sample,Cruel Number - David0Mario
133,UZI,,,,AKRAPO 7,BELIEVE / RPB MUSIC,2024,1,Lil Ben,,UZI (FRA),,2023-10-27,,
134,GAZO,TIAKOLA,,,24/34,BSB PROD / M3LO WORLD / WATI B,2024,1,Jo Caleb,Kyle Evans,Gazo,Tiakola,2023-12-01,,
135,GUY2BEZBAR,,,,ZERO,SONY MUSIC ENTERTAINMENT / BLUE MAGIC CORP,2024,1,Seny Silva,Maximilien Silva,Guy2Bezbar,Franglish,2023-12-22,,
136,DJADJA,DINAZ,,,CAPITAINE,BELIEVE / CARRÉ MUSIC,2024,1,Akuma Tracks,,Djadja,Dinaz,2023-03-17,,
137,LA FÈVE,,,,ZAY INTRO,WARNER / WALONE,2024,1,Zaytoven,,La Fève,,2023-12-22,sample,Long Money - Gucci Mane
138,TROIS CAFÉS GOURMANDS,,,,À NOS SOUVENIRS,BELIEVE / PLAY TWO,2024,1,,,Sébastien Gourseyrol,,2017-07-02,,
139,JULIETTE ARMANET,,,,LE DERNIER JOUR DU DISCO,ROMANCE MUSIQUE,2024,1,Yuksek,Juliette Armanet,Diane Jacqus,Juliette Armanet,2021-09-17,,
140,BONEY M.,,,,RASPUTIN,SONY MUSIC ENTERTAINMENT / NITRON MUSIC,2024,1,Frank Farian,,George Reyam,Fred Jay,1978-08-28,sample,Mega Mix: Rivers of Babylon/Sunny/Daddy Cool/Ma Baker/Rasputin - Boney M.
141,THE WEEKND,,,,DIE FOR YOU,ISLAND DEF JAM / UNIVERSAL MUSIC,2024,1,The Weeknd,Cashmere Cat,The Weeknd,Cirkut,2016-11-25,sample,Blocked (Interlude) - Lamont Lawrence
142,JACK HARLOW,,,,LOVIN ON ME,WARNER / GENERATION NOW/ATLANTIC,2024,1,OZ,Nik D,Jack Harlow,OZ,2023-11-10,sample,Whatever - Cadillac Dale
143,ADEN FOYER,,,,THE BALLET GIRL,SONY MUSIC ENTERTAINMENT / COLUMBIA,2024,1,Aden Foyer,Paul Hers,Aden Foyer,Paul Hers,2022-10-21,,
144,NINHO,NISKA,,,ELLE A MAL,REC. 118 / MAL LUNE MUSIC,2024,1,Izii Tiime,Blackstarz,Niska,Ninho,2016-10-21,,
145,METRO BOOMIN,THE WEEKND,,,CREEPIN',ISLAND DEF JAM / UNIVERSAL MUSIC,2024,1,Metro Boomin,DaHeala,Metro Boomin,21 Savage,2022-12-02,sample,Boadicea - Enya
146,DAMSO,,,,MACARENA,CAPITOL MUSIC FRANCE / CAPITOL,2024,1,Double X,,Damso,,2017-04-28,sample,Normal - Fallon
147,HAMZA,,,,NOCIF,WARNER / JUST WOKE UP,2024,1,Ponko,Lucozi,Hamza,Ponko,2023-02-17,sample,Lady (Hear Me Tonight) - Modjo
148,MARIAH CAREY,,,,ALL I WANT FOR CHRISTMAS IS YOU,SONY MUSIC ENTERTAINMENT / RCA MUSIC GROUP,2024,1,Mariah Carey,Walter Afanasieff,Mariah Carey,Walter Afanasieff,1994-10-29,sample,Xmas Diva - Jonwayne
149,DJADJA,DINAZ,,,J'FAIS MES AFFAIRES,BELIEVE / CARRE-MUSIC,2024,1,BDR,,Dinaz,Djadja,2016-05-06,,
150,SLIMANE,,,,DES MILLIERS DE JE T'AIME,CAPITOL MUSIC FRANCE / CAPITOL,2024,1,Yaacov Salah,Meïr Salah,Slimane,,2022-09-02,,
151,JUL,,,,LA FAILLE,BELIEVE / D'OR ET DE PLATINE,2024,1,JuL,,JuL,,2023-05-12,,
152,ZOLA,KOBA LAD,,,ALLER SANS RETOUR,SONY MUSIC ENTERTAINMENT / TRUTH RECORDS / AWA / BMF,2024,1,SHK,Eliasodt (Elias),Zola,Koba LaD,2023-12-08,interpolation,Daddy chocolat - Koba LaD
153,P!NK,,,,TRUSTFALL,SONY MUSIC ENTERTAINMENT / RCA RECORDS LABEL,2024,1,Fred again..,Johnny McDaid,P!nk,Johnny McDaid,2023-01-27,,
