classement,artiste,artiste_2,artiste_3,artiste_4,titre,editeur,annee,semaine,producer_1,producer_2,writer_1,writer_2,release_date,sample_type,sample_from
37,SHAED,,,,TRAMPOLINE,CAROLINE FRANCE / CAROLINE INT. MD P&D,2020,1,SHAED,Grant Eadie,Chelsea Lee,Max Ernst,2018-05-18,sample,Top Hits of 2019 in 4 Minutes - Madilyn
38,BILLIE EILISH,,,,BAD GUY,DARKROOM/INTERSCOPE RECORDS,2020,1,FINNEAS,,Billie Eilish,FINNEAS,2019-03-29,sample,SUCCR - DaymanOurSavior
39,HEUSS L'ENFOIRÉ,,,,ARISTOCRATE,ALLPOINTS,2020,1,DIIAS,,Heuss L’enfoiré,,2019-01-25,interpolation,Lekki - M.I Abaga
40,DJ SNAKE,J. BALVIN,TYGA,,LOCO CONTIGO,"DJ SNAKE MUSIC PRODUCTIONS LIMITED, UNDE",2020,1,DJ Snake,STANY,DJ Snake,Justin Quiles,2019-06-14,sample,Wakiritho - Octopizzo
41,NEKFEU,VANESSA PARADIS,,,DANS L'UNIVERS,UNIVERSAL MUSIC DIVISION BARCLAY,2020,1,Hugz Hefner,,Vanessa Paradis,Nekfeu,2019-06-06,,
42,MAES,,,,STREET,CAPITOL MUSIC FRANCE / MILLENIUM,2020,1,Susanoô,Big Dada,Maes,Susanoô,2019-10-31,interpolation,Zwischen den Zeilen - Milano
43,JORJA SMITH,BURNA BOY,,,BE HONEST,BECAUSE MUSIC / FAMM / BECAUSE MUSIC,2020,1,Kyle Stemberger,Cadenza,Ms Banks,Bassto,2019-08-16,sample,Rastar - Yung Tory
44,VEGEDREAM,NINHO,,,ELLE E2T BONNE SA MÈRE,MCA / KENSHO,2020,1,Evasao,DJ Kabongo,Vegedream,Ninho,2019-05-31,sample,Vois sur ton chemin - Les Choristes
45,M. POKORA,,,,TOMBÉ,TF1 ENTERTAINMENT,2020,1,Renaud Rebillaud,Slimane,Slimane,Renaud Rebillaud,2019-04-12,,
46,VITAA,SLIMANE,,,ÇA VA ÇA VIENT,MERCURY MUSIC GROUP / MERCURY RECORDS,2020,1,John Mamann,Renaud Rebillaud,Slimane,Vitaa,2019-06-21,,
47,NINHO,NISKA,,,MAMAN NE LE SAIT PAS,REC. 118 / MAL LUNÉ MUSIC,2020,1,Saydiq,Sam H,Niska,Ninho,2019-03-22,interpolation,Habitué - Dosseh
48,JUL,JIMMY SAX,,,IBIZA,D'OR ET DE PLATINE,2020,1,Kakou,JuL,JuL,,2019-11-08,,
49,HAMZA,GAMBI,,,GASOLINA,REC. 118,2020,1,Ponko,Oz Touch,Gambi,Hamza,2019-12-20,,
50,MOHA LA SQUALE,,,,MA BELLE,ELEKTRA FRANCE,2020,1,Biggie Jo,Reek Starcks,Moha La Squale,,2019-08-04,,
51,NISKA,NINHO,,,MÉCHANT,UNIVERSAL MUSIC DIVISION CAPITOL MUSIC F,2020,1,Dopebwoy,,Niska,Ninho,2019-09-06,,
52,NINHO,,,,GOUTTE D'EAU,REC. 118 / MAL LUNÉ MUSIC,2020,1,Kozbeatz,,Ninho,,2019-02-21,,
53,BILLIE EILISH,,,,EVERYTHING I WANTED,POLYDOR / UNIVERSAL MUSIC,2020,1,FINNEAS,,Billie Eilish,FINNEAS,2019-11-13,sample,WCZORAJ - Fukaj
54,AYA NAKAMURA,,,,DJADJA,REC. 118,2020,1,Le Side,,Aloïs Zandry,Machynist,2018-04-06,sample,Borracha (Pero Buena Muchacha) - Vikina
55,PNL,,,,AU DD,QLF RECORDS,2020,1,Nk.F,Joa (FRA),N.O.S,Ademo,2019-03-22,sample,Rmx #5 - JIGZAW
56,PLK,,,,UN PEU DE HAINE,PANENKA MUSIC,2020,1,Junior Alaprod,Wladimir Pariente,PLK,,2019-09-13,sample,1peu_2n - Luso (FRA)
57,LEWIS CAPALDI,,,,SOMEONE YOU LOVED,VERTIGO BERLIN,2020,1,TMS,,Ben Kohn,Lewis Capaldi,2018-11-08,sample,Married To Music - Mistah Kye
58,NISKA,BOOBA,,,MÉDICAMENT,CAPITOL MUSIC FRANCE / MILLENIUM,2020,1,Dany Synthé,,Booba,Niska,2019-04-05,interpolation,Summer 2019 - L.E.J
59,ANGÈLE,ROMÉO ELVIS,,,TOUT OUBLIER,UNIVERSAL MUSIC DISTRIBUTION DEAL,2020,1,Tristan Salvati,,Roméo Elvis,Angèle,2018-10-05,interpolation,Summer 2019 - L.E.J
60,DJADJA,DINAZ,,,UN MILLION PAR MOIS,CARRÉ MUSIC,2020,1,Trent 700,Lil Ben,Dinaz,Djadja,2019-10-29,,
61,LOMEPAL,,,,TROP BEAU,PINEALE PROD - GRAND MUSIQUE MANAGEMENT,2020,1,Lomepal,Pierrick Devin,Lomepal,,2018-12-07,,
62,JUL,,,,JCVD,D'OR ET DE PLATINE,2020,1,Kakou,,JuL,,2019-06-14,sample,Je traîne en bas - Tiitof
63,TREVOR DANIEL,,,,FALLING,INTERNET MONEY / ALAMO RECORDS \EMPD,2020,1,Taz Taylor,Charlie Handsome,Martin Kottmeier,Tristan Norton,2018-10-05,sample,​close your eyes - ​stowaway
64,LIZZO,,,,GOOD AS HELL,NICE LIFE/ATLANTIC,2020,1,Ricky Reed,,Ricky Reed,Lizzo,2016-10-07,sample,yeahnowadaystheyrejustmessingaroundyouknowwhatimsayinghuh? - CJCM
65,SOPRANO,NINHO,,,MUSICA,REC. 118,2020,1,DJ Mej,Djaresma,Ninho,Soprano,2019-11-08,,
66,LADY GAGA,BRADLEY COOPER,,,SHALLOW,POLYDOR / UNIVERSAL MUSIC,2020,1,Benjamin Rice,Lady Gaga,Andrew Wyatt,Anthony Rossomando,2018-09-27,sample,10 Toes - Ghais Guevara
67,SOPRANO,,,,À NOS HÉROS DU QUOTIDIEN,REC. 118,2020,1,P3GASE,,Soprano,,2019-10-10,,
68,HEUSS L'ENFOIRÉ,SOFIANE,,,KHAPTA,ALLPOINTS,2020,1,Zeg P,,Heuss L’enfoiré,Sofiane,2019-01-25,,
69,LARRY,,,,BLOCK,COLUMBIA,2020,1,Louis Dureau,Stork,Larry,,2019-12-19,,
70,NINHO,,,,PUTANA,REC. 118 / MAL LUNÉ MUSIC,2020,1,Noxious,,Ninho,,2019-03-22,interpolation,Bananza (Belly Dancer) - Akon
71,PLK,,,,PROBLÈMES,PANENKA MUSIC,2020,1,Josh (FRA),Junior Alaprod,PLK,,2019-07-19,,
72,JACKBOYS,SHECK WES,,,GANG GANG,CACTUS JACK / EPIC,2020,1,VOU,WondaGurl,VOU,Luxury Tax,2019-12-27,sample,Blue Hunnits - Mar90s
73,KOBA LAD,,,,MORTEL,DEF JAM RECORDINGS FRANCE / DEF JAM,2020,1,Noxious,,Koba LaD,Noxious,2019-11-21,,
74,SOPRANO,VINCENZO,,,LE COACH,REC. 118,2020,1,DJ Mej,Djaresma,Vincenzo,Soprano,2018-11-09,,
75,MARIAH CAREY,,,,ALL I WANT FOR CHRISTMAS IS YOU,SONY MUSIC CATALOGUE / RCA RECORDS,2020,1,Mariah Carey,Walter Afanasieff,Mariah Carey,Walter Afanasieff,1994-10-29,sample,Xmas Diva - Jonwayne
76,TROIS CAFÉS GOURMANDS,,,,À NOS SOUVENIRS,PLAY TWO,2020,1,,,Sébastien Gourseyrol,,2017-07-02,,
77,SIA,,,,UNSTOPPABLE,MONKEY PUZZLE RECORDS/RCA RECORDS,2020,1,Jesse Shatkin,,Sia,Chris Braide,2016-01-21,sample,Everything: 2022 Megamix - Joseph James (DJ)
78,ED SHEERAN,,,,SHAPE OF YOU,WEA / ATLANTIC RECORDS UK,2020,1,,,,,,,
79,SCH,,,,R.A.C.,REC. 118,2020,1,Phazz,,SCH,Phazz,2019-11-07,,
80,JUL,,,,POW POW,D'OR ET DE PLATINE,2020,1,JuL,,JuL,,2019-12-06,,
81,KOBA LAD,,,,MARIE,UNIVERSAL MUSIC DIVISION DEF JAM RECORDI,2020,1,M Millz,Habib Defoundoux,Koba LaD,M Millz,2019-09-27,,
82,NEA,,,,SOME SAY,MILKSHAKE,2020,1,Hitimpulse,Vincent Kottkamp,Eiffel 65,Hitimpulse,2019-09-06,sample,Perder O Ganar - LJ970
83,IMAGINE DRAGONS,,,,BIRDS,KID INA KORNER / INTERSCOPE,2020,1,Joel Little,,Dan Reynolds,Wayne Sermon,2018-11-09,,
84,ANGÈLE,,,,FLOU,UNIVERSAL MUSIC DISTRIBUTION DEAL,2020,1,Tristan Salvati,Angèle,Angèle,,2018-10-05,,
85,ED SHEERAN,CAMILA CABELLO,CARDI B,,SOUTH OF THE BORDER,WEA / ATLANTIC RECORDS UK,2020,1,Ed Sheeran,Fred again..,Pardison Fontaine,Steve Mac,2019-07-12,,
86,CHILY,,,,SAN PELLEGRINO,ARISTA FRANCE,2020,1,Mounchild,Blaise Keys,Chily,,2019-07-05,,
87,JUL,,,,MON BÉBÉ D'AMOUR,D'OR ET DE PLATINE,2020,1,Kakou,,JuL,,2019-12-06,,
88,RIM'K,,,,TURBO,CAROLINE FRANCE / FRENESIK,2020,1,Benjay,,Rim’K,,2019-12-12,,
89,LETO,,,,DOUBLE BANG 8,REC. 118,2020,1,Antoine Borey,Richie Beats,Leto,,2019-12-25,,
90,CLARA LUCIANI,,,,LA GRENADE,INITIAL ARTIST SERVICES,2020,1,Yuksek,Ambroise Willaume,Ambroise Willaume,Clara Luciani,2018-04-05,interpolation,Hallucinate - Dua Lipa
91,GRADUR,,,,RARI,CAPITOL MUSIC FRANCE / MILLENIUM,2020,1,Noxious,,Gradur,,2019-10-04,,
92,NEKFEU,DAMSO,,,TRICHEUR,UNIVERSAL MUSIC DIVISION POLYDOR,2020,1,Hugz Hefner,,Damso,Nekfeu,2019-06-06,sample,Mwaka Moon - Kalash
93,POST MALONE,,,,CIRCLES,DEF JAM RECORDINGS FRANCE / MOTOWN,2020,1,Post Malone,Louis Bell,Post Malone,Billy Walsh,2019-08-30,sample,A BIT OF MEGAMASHUP - DaymanOurSavior
94,ROMÉO ELVIS,,,,SOLEIL,UNIVERSAL MUSIC DIVISION BARCLAY,2020,1,Junior Alaprod,Vladimir Cauchemar,Roméo Elvis,,2019-04-12,,
95,MACKLEMORE,RYAN LEWIS,RAY DALTON,,CAN'T HOLD US,WEA / MACKLEMORE,2020,1,Ryan Lewis,,Ryan Lewis,Ray Dalton,2011-08-16,sample,Bits and Pieces - The Dave Clark Five
96,RITON,OLIVER HELDENS,VULA,,TURN ME ON,MINISTRY OF SOUND RECORDINGS,2020,1,Riton,Oliver Heldens,Ron Tyson,Norman Harris,2019-09-13,sample,Don’t Go - Yazoo
97,DADDY YANKEE,SNOW,,,CON CALMA,MCA / MCA LATINO,2020,1,Play-N-Skillz,Scott Summers,Daddy Yankee,Snow,2019-01-24,sample,Informer - Snow
98,ED SHEERAN,JUSTIN BIEBER,,,I DON'T CARE,ATLANTIC RECORDS UK,2020,1,Fred again..,Shellback,Ed Sheeran,Justin Bieber,2019-05-10,sample,Clique - Big Sean
99,Y2K,BBNO$,,,LALALA,Y2K \STEM DISINTERMEDIA INC.,2020,1,Y2K,,Y2K,bbno$,2019-06-07,sample,Guess What’s Back - David0Mario
100,DTF,N.O.S,,,DANS LA VILLE,QLF RECORDS,2020,1,Amine Farsi,Trent 700,N.O.S,RTI,2019-10-11,sample,Ghettokapitän (Rap La Rue) - Haaland936
101,MEDUZA,BECKY HILL,GOODBOYS,,LOSE CONTROL,MCA / PM:AM RECORDINGS,2020,1,MEDUZA,,Simon de Jano,Becky Hill,2019-10-11,sample,Friends Rave - MC Pedrinho
102,JACKBOYS,DON TOLIVER,,,WHAT TO DO?,CACTUS JACK / EPIC,2020,1,London Cyr,Jenius Level,Travis Scott,Sheck Wes,2019-12-27,sample,AFTER THE PARTY - @prodbytobey
103,KOBA LAD,NISKA,,,RR 9.1,DEF JAM RECORDINGS FRANCE / DEF JAM,2020,1,Phazz,,Niska,Koba LaD,2019-04-19,interpolation,RR - Koba LaD
104,SCH,,,,ÇA IRA,REC. 118,2020,1,Guilty,Timo (Producer),SCH,,2019-11-22,,
105,LETO,NINHO,,,TES PARENTS,REC. 118,2020,1,Katrina Squad,DJ Ritmin,Leto,Ninho,2019-07-05,,
106,DON TOLIVER,QUAVO,OFFSET,,HAD ENOUGH,CACTUS JACK / ATLANTIC,2020,1,TM88,MIKE DEAN,Cool,Homer Steinweiss,2019-12-27,sample,SUMMER - THE CARTERS
107,LEFA,VALD,,,BITCH,RCA RECORDS,2020,1,Lefa,MKL,Vald,Lefa,2019-07-10,,
108,DADJU,KOBA LAD,,,TPB,POLYDOR,2020,1,Nyadjiko,,Koba LaD,Dadju,2019-11-15,interpolation,Sous contrôle - Dadju
109,ED SHEERAN,KHALID,,,BEAUTIFUL PEOPLE,WEA / ATLANTIC RECORDS UK,2020,1,Ed Sheeran,Max Martin,Ed Sheeran,Khalid,2019-06-28,interpolation,(Something Inside) So Strong - Labi Siffre
110,DOUMS,NEKFEU,NAË,,CE SOIR,FRÉMONT & CO / \IDOL,2020,1,Diabi,,Nekfeu,Doums,2019-12-12,,
111,QUEEN,,,,BOHEMIAN RHAPSODY,UNIVERSAL MUSIC DIVISION CLASSICS JAZZ,2020,1,,,,,,,
112,THERAPIE TAXI,ROMÉO ELVIS,,,HIT SALE,PANENKA MUSIC,2020,1,Alexandre Zuliani,Therapie TAXI,Adé (Chanteuse),Zaoui,2017-11-30,,
113,LUM!X,GABRY PONTE,,,MONSTER,WEA / SPINNIN' RECORDS,2020,1,LUM!X,Gabry Ponte,Meg Frampton,Dia Frampton,2019-04-19,,
114,VEGEDREAM,,,,RAMENEZ LA COUPE À LA MAISON,MCA / KENSHO,2020,1,Evasao,,Vegedream,,2018-07-18,interpolation,Bourbier - La Synesia
115,DJ SNAKE,SELENA GOMEZ,OZUNA,CARDI B,TAKI TAKI,POLYDOR / INTERSCOPE RECORDS,2020,1,DJ Snake,STANY,Cardi B,Ozuna,2018-09-28,sample,Whistle 01 (Dm) 85bpm - KSHMR
116,LOMEPAL,ROMÉO ELVIS,,,1000°C,PINEALE PROD - GRAND MUSIQUE MANAGEMENT,2020,1,Maxime Dabel,Vladimir Cauchemar,Roméo Elvis,Lomepal,2018-09-17,,
117,JACKBOYS,YOUNG THUG,,,OUT WEST,CACTUS JACK / EPIC,2020,1,Jabz (Producer),Buddah Bless,Travis Scott,Young Thug,2019-12-26,sample,Take Over Your Trap - Bankroll Fresh
118,DABABY,DABABY,,,BOP,SOUTH COAST MUSIC GROUP/INTERSCOPE RECOR,2020,1,star boy,​jetsonmade,star boy,​jetsonmade,2019-09-27,sample,Tractor Scott 2 - Scary the Band
119,MEDUZA,GOODBOYS,,,PIECE OF YOUR HEART,VIRGIN,2020,1,MEDUZA,,Simon de Jano,Mattia Vitale,2019-02-01,sample,SUPER E.T. - Gianni Zadro
120,JUL,,,,C'EST PAS DES LOL,D'OR ET DE PLATINE,2020,1,JuL,,JuL,,2019-09-10,,
121,AYA NAKAMURA,,,,COPINES,REC. 118 / PARLOPHONE FRANCE,2020,1,Julio Masidi,,Aya Nakamura,,2018-08-24,sample,Tá Tranquilo Tá Favorável - MC Binn
122,ALEC BENJAMIN,,,,LET ME DOWN SLOWLY,P2018,2020,1,Sir Nolan,,Michael Pollack,Sir Nolan,2018-05-25,sample,by my lonely - ​crive
123,JONAS BROTHERS,,,,ONLY HUMAN,JONAS BROTHERS RECORDING,2020,1,Shellback,,Nick Jonas,Joe Jonas,2019-06-07,interpolation,Lonely - Miksu / Macloud
124,HEUSS L'ENFOIRÉ,,,,LES MÉCHANTS,ALLPOINTS,2020,1,RDS,Zeg P,Heuss L’enfoiré,,2018-12-14,interpolation,Summer 2019 - L.E.J
125,JUL,,,,BEUH MAGIQUE,D'OR ET DE PLATINE,2020,1,JuL,,JuL,,2019-12-06,,
126,MAÎTRE GIMS,NIRO,,,CECI N'EST PAS DU RAP,PLAY TWO,2020,1,GIMS,Bugatti Beatz,Niro,GIMS,2019-11-29,sample,No Feelings - PARTYNEXTDOOR
127,PEDRO CAPÓ,,,,CALMA,SONY MUSIC LATIN,2020,1,George Noriega,Rec808,Rec808,George Noriega,2018-07-20,,
128,MAES,,,,LIQUIDE ROUGE,CAPITOL MUSIC FRANCE / MILLENIUM,2020,1,Nons Prod,,Maes,,2019-12-13,,
129,MAÎTRE GIMS,MALUMA,,,HOLA SEÑORITA,PLAY TWO,2020,1,Renaud Rebillaud,,GIMS,Maluma,2019-04-26,,
130,TAYC,BARACK ADAMA,,,"MOI, JE PROUVE.",MCA / H24,2020,1,BlackDoe,,Barack,Tayc,2019-12-10,,
131,CÉLINE DION,,,,J'IRAI OÙ TU IRAS,COLUMBIA,2020,1,Jean-Jacques Goldman,,Jean-Jacques Goldman,,1995-03-30,,
132,CALVIN HARRIS,DUA LIPA,,,ONE KISS,COLUMBIA,2020,1,Calvin Harris,,Calvin Harris,Jessie Reyez,2018-04-06,sample,2000-2019 mashup | 200 songs from the last 20 years - YamiNoBahamut
133,CALVIN HARRIS,RAG'N'BONE MAN,,,GIANT,COLUMBIA,2020,1,Calvin Harris,,Calvin Harris,Rag’n’Bone Man,2019-01-11,,
134,MAES,BOOBA,,,MADRINA,CAPITOL MUSIC FRANCE / MILLENIUM,2020,1,Unfazzed,Denza,Booba,Maes,2018-10-26,sample,Honneur - Prod.MxAI
135,DABS,AYA NAKAMURA,,,FOLLOW BACK,ELEKTRA FRANCE,2020,1,SoEazy,,Aya Nakamura,Dabs,2019-07-05,,
136,DON TOLIVER,,,,NO IDEA,CACTUS JACK / ATLANTIC,2020,1,WondaGurl,CuBeatz,Don Toliver,WondaGurl,2019-05-29,sample,Maybach - GoBraga
137,LES FRANGINES,,,,DONNEZ-MOI,JO & CO,2020,1,Vianney,,Anne Coste,Vianney,2019-03-08,,
138,ARIANA GRANDE,,,,7 RINGS,MERCURY MUSIC GROUP / REPUBLIC,2020,1,TBHits,Scootie,Ariana Grande,Victoria Monét,2019-01-18,sample,My Favorite Things - Mary Martin
139,AVA MAX,,,,TORN,WEA / ATLANTIC RECORDS,2020,1,Cirkut,,Cirkut,Sam Martin,2019-08-19,interpolation,Mad - Allison Spears
140,THE FAIM,,,,SUMMER IS A CURSE,BMG RIGHTS MANAGEMENT (US) LLC,2020,1,John Feldmann,,Zakk Cervini,Stephen Beerkens,2018-03-18,,
141,SELENA GOMEZ,,,,LOSE YOU TO LOVE ME,POLYDOR / UNIVERSAL MUSIC,2020,1,Mattman & Robin,,Robin Fredriksson,Mattias Larsson,2019-10-23,sample,Top Hits of 2019 in 4 Minutes - Madilyn
142,LUIS FONSI,DADDY YANKEE,,,DESPACITO,UMLE - LATINO,2020,1,Andrés Torres,El Dandee,Daddy Yankee,Erika Ender,2017-01-12,sample,Inscrito Mito (Paródia) - Dudu Betero
143,MAÎTRE GIMS,VIANNEY,,,LA MÊME,PLAY TWO,2020,1,Renaud Rebillaud,Vianney,GIMS,Vianney,2018-03-08,interpolation,Summer 2018 - L.E.J
144,ANGÈLE,,,,TA REINE,UNIVERSAL MUSIC DISTRIBUTION DEAL,2020,1,Angèle,Tristan Salvati,Angèle,,2018-10-05,sample,MONEY 4 FUN - Gemen
145,DADJU,KALY,SOOLKING,AYMANE SERHANI,WOULI LIYA,POLYDOR,2020,1,Nyadjiko,,Kaly,Soolking,2019-11-18,,
146,YOUNOTUS,JANIECK,SENEX,,NARCOTIC,B1,2020,1,YouNotUs,,YouNotUs,Janieck,2019-04-26,,
147,ZOLA,NINHO,,,PAPERS,AWA,2020,1,NASKID,Aurélien Mazin,Ninho,Zola,2019-04-05,,
148,DAVID GUETTA,BEBE REXHA,J BALVIN,,SAY MY NAME,PARLOPHONE FRANCE,2020,1,David Guetta,Giorgio Tuinfort,Sky Rompiendo,Boaz van de Beatz,2018-09-14,sample,Light - DJ Falco
149,CARLA,,,,BIM BAM TOI,MCA,2020,1,Julien Comblat,,Igit,Barbara Pravi,2019-10-11,interpolation,Clash Tibo Inshape - JUJUFITCATS
150,QUEEN,,,,DON'T STOP ME NOW,EMI UK,2020,1,Roy Thomas Baker,Queen,Brian May,Freddie Mercury,1978-11-10,sample,Tour Overture - SET 69
151,ANGÈLE,,,,PERDUS,INITIAL ARTIST SERVICES / ANGELE VL RECORDS,2020,1,Angèle,Tristan Salvati,Angèle,,2019-10-10,,
152,EARTH,WIND,FIRE,,SEPTEMBER,SONY MUSIC COLUMBIA GROUP,2020,1,,,,,,,
153,LADY GAGA,,,,ALWAYS REMEMBER US THIS WAY,UNIVERSAL MUSIC,2020,1,Lady Gaga,Dave Cobb,Lori McKenna,Hillary Lindsey,2018-10-05,sample,Sick (O.F. Diss) - Master Tre
154,BON ENTENDEUR,,,,LE TEMPS EST BON,COLUMBIA,2020,1,Bon Entendeur,,Stéphane Venne,Bon Entendeur,2018-11-08,,
155,TONES AND I,,,,NEVER SEEN THE RAIN,ELEKTRA (NEK),2020,1,Konstantin Kersting,,Tones and I,,2019-07-15,,
156,RÉMY,,,,ALIBI,DEF JAM RECORDINGS FRANCE / DEF JAM FRANCE,2020,1,Prof366or,,Rémy,Leto,2019-10-23,,
157,M. POKORA,,,,LES PLANÈTES,TF1 ENTERTAINMENT,2020,1,Malory,Tristan Salvati,Malory,M. Pokora,2019-03-05,,
158,NINHO,FAOUZIA,,,MONEY,REC. 118 / MAL LUNÉ MUSIC,2020,1,SNK,Hoodstar,Faouzia,Ninho,2019-03-22,,
159,THERAPIE TAXI,,,,CANDIDE CRUSH,PANENKA MUSIC,2020,1,Alexandre Zuliani,,Adé (Chanteuse),Léa Poudrel,2019-10-25,,
