classement,artiste,artiste_2,artiste_3,artiste_4,titre,editeur,annee,semaine,producer_1,producer_2,writer_1,writer_2,release_date,sample_type,sample_from
1,GRADUR,HEUSS L'ENFOIRÉ,,,NE REVIENS PAS,CAPITOL MUSIC FRANCE / MILLENIUM,2020,1,Zeg P,,Gradur,Heuss L’enfoiré,2019-11-22,sample,Blue - Poupie
2,HEUSS L'ENFOIRÉ,JUL,,,MOULAGA,MIDI MIDI PRODUCTION/150 PROD,2020,1,Zeg P,DJ Wiils,JuL,Heuss L’enfoiré,2019-12-13,sample,Moulaga - n1kiplugg
3,TONES AND I,,,,DANCE MONKEY,WEA / ELEKTRA (NEK),2020,1,Konstantin Kersting,,Tones and I,,2019-05-10,sample,2000-2019 mashup | 200 songs from the last 20 years - YamiNoBahamut
4,THE WEEKND,,,,BLINDING LIGHTS,DEF JAM RECORDINGS FRANCE / REPUBLIC,2020,1,The Weeknd,Max Martin,The Weeknd,Oscar Holter,2019-11-29,sample,Pulsar City Alarm - Adams & Fleisner
5,MAES,,,,DISTANT,CAPITOL MUSIC FRANCE / MILLENIUM,2020,1,HoloMobb,Boumidjal,Ninho,Maes,2019-12-20,,
6,AYA NAKAMURA,,,,40%,REC. 118,2020,1,Drama State,Machynist,Aya Nakamura,,2019-10-25,sample,40% - DRO
7,GAMBI,,,,POPOPOP,REC. 118,2020,1,Ghost Killer Track,,Gambi,,2019-10-04,,
8,ANGÈLE,,,,OUI OU NON,UNIVERSAL MUSIC DISTRIBUTION DEAL,2020,1,Angèle,Tristan Salvati,Angèle,,2019-11-08,,
9,NAZA,,,,LOIN DE MOI,CAPRICAROLESQUE,2020,1,Ray Da Prince,DJ Erise,Naza,,2019-09-25,,
10,THE BLACK EYED PEAS,J BALVIN,,,RITMO,EPIC,2020,1,,,,,2019-10-11,,
11,4KEUS,NISKA,,,MD,WATI-B,2020,1,XAVii,Jay 4LIFE,Tiakola,Niska,2019-12-27,,
12,HAMZA,DAMSO,,,GOD BLESS,REC. 118,2020,1,Hamza,Prinzly,Prinzly,Damso,2019-12-19,interpolation,Nonstop - Drake
13,MAJOR LAZER,J BALVIN,EL ALFA,,QUE CALOR,BECAUSE MUSIC,2020,1,Dee Mad,Tropkillaz,Sky Rompiendo,André Silva,2019-09-11,sample,Indian Flute - Timbaland & Magoo
14,REGARD,,,,RIDE IT,MINISTRY OF SOUND RECORDINGS,2020,1,Regard,,Jay Sean,Alan Sampson,2019-07-26,sample,Zweifel - Eddin
15,47TER,,,,CÔTE OUEST,LABEL ENTRECÔTE,2020,1,47ter,,47ter,,2019-06-25,,
16,MAROON 5,,,,MEMORIES,POLYDOR,2020,1,The Monsters & Strangerz,Adam Levine,Adam Levine,Jon Bellion,2019-09-20,sample,Memory Fender - David0Mario & himynameisshan.
17,VITAA,SLIMANE,,,AVANT TOI,UNIVERSAL MUSIC DIVISION MERCURY RECORDS,2020,1,Hottrak,,Vitaa,Slimane,2019-08-23,,
18,AYA NAKAMURA,,,,POOKIE,REC. 118,2020,1,Le Side,Ever Mihigo,Aya Nakamura,,2018-11-02,interpolation,Summer 2019 - L.E.J
19,GAMBI,,,,HÉ OH,REC. 118,2020,1,Ace Loocky,Neuroz,Gambi,,2019-08-09,,
20,SCH,NINHO,,,MAYDAY,REC. 118,2020,1,Neva (Producer),Guilty,Ninho,SCH,2019-11-29,,
21,ARIZONA ZERVAS,,,,ROXANNE,ARIZONA ZERVAS,2020,1,Jae Green,94Skrt,Arizona Zervas,Jae Green,2019-10-10,sample,TELL ME - Pankky
22,LIL NAS X,,,,OLD TOWN ROAD,COLUMBIA,2020,1,YoungKio,Trent Reznor,Lil Nas X,,2018-12-03,sample,34 Ghosts IV - Nine Inch Nails
23,LARRY,RK,,,WOIN WOIN,YAB,2020,1,Cello,,RK,Larry,2019-11-06,,
24,TRAVIS SCOTT,,,,HIGHEST IN THE ROOM,CACTUS JACK / EPIC,2020,1,MIKE DEAN,OZ,Travis Scott,MIKE DEAN,2019-10-04,sample,Vocalise - Theme From the Ninth Gate - Sumi Jo (조수미)
25,DADJU,,,,MA VIE,POLYDOR,2020,1,Nyadjiko,,Dadju,,2019-10-11,,
26,GLK,LANDY,DA UZI,HORNET LA FRAPPE,93%,MCA / 50K EDITIONS,2020,1,Marcelino,,GLK,,2021-11-19,,
27,MISTER V,PLK,,,JAMAIS,HEY PELO,2020,1,Karmen (FRA),Geronimo Beats,Mister V,PLK,2019-12-04,,
28,NINHO,,,,LA VIE QU'ON MÈNE,REC. 118 / MAL LUNÉ MUSIC,2020,1,Chady,,Ninho,,2019-03-22,sample,Chagrin des bons moments - PSO Thug
29,ANGÈLE,,,,BALANCE TON QUOI,UNIVERSAL MUSIC DISTRIBUTION DEAL,2020,1,Tristan Salvati,Angèle,Angèle,,2018-10-05,sample,Balance ton pote - Speeder M
30,MAÎTRE GIMS,STING,,,RESTE,PLAY TWO,2020,1,Renaud Rebillaud,,GIMS,Sting,2019-04-26,interpolation,Summer 2020 - L.E.J
31,SHAWN MENDES,CAMILA CABELLO,,,SEÑORITA,BARCLAY / UNIVERSAL MUSIC,2020,1,benny blanco,Cashmere Cat,Ali Tamposi,benny blanco,2019-06-21,sample,2000-2019 mashup | 200 songs from the last 20 years - YamiNoBahamut
32,BAKERMAT,,,,BAIANÁ,BE YOURSELF MUSIC \BE YOURSELF MUSIC,2020,1,Bakermat,,Vera Lúcia Barbosa,Marcelo Pretto,2019-07-26,sample,Baianá - Barbatuques
33,DUA LIPA,,,,DON'T START NOW,WEA / WARNER RECORDS UK,2020,1,Ian Kirkpatrick,,Dua Lipa,Caroline Ailin,2019-11-01,sample,I Will Survive - Gloria Gaynor
34,SAINT JHN,,,,ROSES,B1,2020,1,​f a l l e n,,​f a l l e n,SAINt JHN,2016-07-22,sample,Enciéndelo (Spanish Version) - Ele A El Dominio
35,NISKA,,,,BÂTIMENT,UNIVERSAL MUSIC DIVISION CAPITOL MUSIC F,2020,1,Heizenberg,Chapo,Niska,Heizenberg,2019-09-06,,
36,DADJU,,,,COMPLIQUÉ,POLYDOR,2020,1,MKL,,Dadju,,2019-06-28,interpolation,Unité - Unité
