classement,artiste,artiste_2,artiste_3,artiste_4,titre,editeur,annee,semaine,producer_1,producer_2,writer_1,writer_2,release_date,sample_type,sample_from
22,LIL NAS X,,,,STAR WALKIN',SONY MUSIC ENTERTAINMENT / COLUMBIA,2023,1,Cirkut,Omer Fedi,Lil Nas X,Omer Fedi,2022-09-22,interpolation,Friday Night Lights (Version 4) - Lil Nas X
23,MÅNESKIN,,,,THE LONELIEST,SONY MUSIC ENTERTAINMENT / EPIC,2023,1,Fabrizio Ferraguzzo,Måneskin,Damiano David,Ethan Torchio,2022-10-07,,
24,DAMSO,,,,COEUR DE PIRATE,TRENTE-QUATRE CENTIMES,2023,1,Twinsmatic,,Damso,Twinsmatic,2022-12-18,interpolation,Dégaine - Aya Nakamura
25,GAZO,,,,FLEURS,BSB PROD,2023,1,Shiruken Music,,Tiakola,Gazo,2022-07-01,,
26,DERTAY,,,,MA CAME,MAISON MASSENA,2023,1,Narco Verra,,Dertay,,2022-12-09,,
27,RIHANNA,,,,LIFT ME UP,ISLAND DEF JAM / UNIVERSAL MUSIC,2023,1,Ludwig Göransson,,Rihanna,Tems,2022-10-28,sample,Lift Me Up (Instrumental) - Rihanna
28,ORELSAN,ANGÈLE,,,CP_009_ E´VIDEMMENT,3EME BUREAU,2023,1,Skread,Phazz,Angèle,OrelSan,2022-10-28,,
29,JUL,,,,NAMEK,BELIEVE / D'OR ET DE PLATINE,2023,1,AL PROD,,JuL,Omah Lay,2022-11-18,,
30,KABONGO-DJ,VEGEDREAM,,,MERCI LES BLEUS,BELIEVE / PLAY TWO,2023,1,,,,,,,
31,OLIVER TREE,ROBIN SCHULZ,,,MISS YOU,WEA / ATLANTIC RECORDS,2023,1,Robin Schulz,,Oliver Tree,Marshmello,2022-08-05,sample,Miss You - southstar
32,FAVÉ,,,,URUS,BELIEVE / MORNING GLORY MUSIC / 109 RECORD,2023,1,MB On The Track,,Favé (FRA),MB On The Track,2022-10-12,,
33,CENTRAL CEE,,,,DOJA,WARNER / CENTRAL CEE,2023,1,LiTek,WhYJay,Central Cee,Eve,2022-07-21,sample,Let Me Blow Ya Mind - Eve
34,SOOLKING,,,,SUAVEMENTE,CAPITOL MUSIC FRANCE / CAPITOL,2023,1,Scar (FRA),Voluptyk,Soolking,,2022-02-23,interpolation,Suavemente - Elvis Crespo
35,YANNS,,,,CLIC CLIC PAN PAN,BELIEVE / PRODIGE MUSIC,2023,1,Toto Beats,,Yanns,,2021-12-10,,
36,SDM,,,,BOLIDE ALLEMAND,CAPITOL MUSIC FRANCE / CAPITOL,2023,1,Berry Prod,Yopsy,SDM,Berry Prod,2022-12-02,interpolation,Rihanna - SDM
37,LORENZO,,,,COCO,ROMANCE MUSIQUE / MFC,2023,1,Arthur Malherbe,Yro,Lorenzo,Arthur Malherbe,2022-12-02,,
38,BLACK EYED PEAS,,,,DON'T YOU WORRY,POLYDOR,2023,1,will.i.am,David Guetta,will.i.am,apl.de.ap,2022-06-17,sample,Play Hard - David Guetta
39,MACKLEMORE AND RYAN LEWIS,RAY DALTON,,,CAN'T HOLD US,CATALOGUE MARKETING CLASSIQUE / WEA,2023,1,,,,,2011-08-16,,
40,PEDRO SAMPAIO,ANITTA,DADJU,MC PEDRINHO,DANÇARINA,WEA / WM BRAZIL,2023,1,Maikinho DJ,PEDRO SAMPAIO,Tiakola,MC Pedrinho,2022-02-01,sample,Dieu merci - Dadju
41,AIME SIMONE,,,,SHINING LIGHT,BECAUSE / NO START NO END,2023,1,Aime Simone,,Aime Simone,,2020-07-31,,
42,SLIMANE,,,,DES MILLIERS DE JE T'AIME,CAPITOL MUSIC FRANCE / CAPITOL,2023,1,Yaacov Salah,Meïr Salah,Slimane,,2022-09-02,,
43,JUL,,,,CŒUR BLANC,BELIEVE / D'OR ET DE PLATINE,2023,1,Captain Beats,,JuL,Captain Beats,2022-12-08,,
44,LOMEPAL,,,,À PEU PRÈS,IDOL / PINÉALE,2023,1,Stwo,Pierrick Devin,Lomepal,,2022-09-16,,
45,TIAKOLA,,,,MEUDA,WATI-B,2023,1,Oath (NLD),,Tiakola,Oath (NLD),2022-05-27,sample,"M3lo, Meuda et So Bad (Tiakola Remix) - Iverstar $"
46,NAPS,,,,LA KIFFANCE,BELIEVE / OK MANY INDUSTRIE ET 13ÈME ART MUSIC,2023,1,Zeg P,,Naps,,2021-02-26,sample,OVER NOW - NickiMusic
47,GAMBI,,,,PETETE,WARNER / REC. 118,2023,1,808 Smoove,Elias Beats,Gambi,,2022-07-29,sample,Calabria 2007 - Enur
48,BIGFLO,OLI,,,COUP DE VIEUX,UNIVERSAL MUSIC FRANCE / UNIVERSAL MUSIC DIVISION POLYDOR,2023,1,20syl,Bigflo,Charles Aznavour,Julien Doré,2022-06-24,sample,Axel F - Crazy Frog
49,GAZO,,,,RAPPEL,SONY MUSIC ENTERTAINMENT / BSB PROD,2023,1,Shiruken Music,,Gazo,Shiruken Music,2022-06-28,,
50,FARRUKO,,,,PEPAS,SONY MUSIC ENTERTAINMENT / RCA,2023,1,Sharo Towers,Ghetto,IAmChino,Juan Manuel Gomez,2021-06-24,sample,Dos Tres Trucos - Paola Suárez
51,THE WEEKND,,,,BLINDING LIGHTS,ISLAND DEF JAM / UNIVERSAL MUSIC,2023,1,The Weeknd,Max Martin,The Weeknd,Oscar Holter,2019-11-29,sample,Pulsar City Alarm - Adams & Fleisner
52,OXLADE,,,,KU LO SA,SONY MUSIC ENTERTAINMENT / EPIC,2023,1,Ozedikus,,Oxlade,Camila Cabello,2022-10-21,sample,Feel complete - PinkPantheress
53,SCH,,,,AUTOBAHN,REC118 / REC. 118,2023,1,SCH,Vito Bendinelli,SCH,Vito Bendinelli,2022-11-18,,
54,TIAKOLA,,,,GASOLINA,WATI-B,2023,1,Shiruken Music,,Tiakola,Rsko,2022-05-27,,
55,NISKA,,,,GENKIDAMA,CAPITOL MUSIC FRANCE / MILLENIUM,2023,1,Boumidjal,HoloMobb,Niska,Boumidjal,2022-11-23,,
56,SOUND OF LEGEND,,,,I'M SO EXCITED,BELIEVE / PLAY TWO,2023,1,Sound Of Legend,,Ruth Pointer,June Pointer,2022-10-14,,
57,NAPS,,,,BEST LIFE,BELIEVE / OK MANY INDUSTRIE/13ÈME ART MUSIC,2023,1,CDR (FRA),,GIMS,Naps,2021-09-29,interpolation,PS5 - Drismer & PCN
58,KOFS,SOSO MANESS,ELAMS,JUL,BANDE ORGANISÉE,BELIEVE / RIEN 100 RIEN,2023,1,JuL,,Solda (FRA),Elams,2020-08-15,sample,Jersey Drill #2 - Sto
59,LADY GAGA,,,,BLOODY MARY,POLYDOR / INTERSCOPE RECORDS,2023,1,Lady Gaga,DJ White Shadow,DJ White Shadow,Lady Gaga,2011-05-23,sample,Капибара (Capybara) - ​gerka & kiryuha
60,IMAGINE DRAGONS,,,,SHARKS,POLYDOR / INTERSCOPE RECORDS,2023,1,Mattman & Robin,,Dan Reynolds,Wayne Sermon,2022-06-24,,
61,ELTON JOHN,DUA LIPA,,,COLD HEART,VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC,2023,1,GD8,,KayleeHazel,Elton John,2024-05-24,,
62,NINHO,,,,LA VIE QU ON MENE,REC. 118 / MAL LUNE MUSIC,2023,1,Chady,,Ninho,,2019-03-22,sample,Chagrin des bons moments - PSO Thug
63,CALEMA,,,,TE AMO,POLYDOR,2023,1,,,,,,,
64,JUL,,,,J'AI TOUT SU,BELIEVE / D'OR ET DE PLATINE,2023,1,JuL,,JuL,,2022-06-03,,
65,NINHO,,,,JEFE,REC. 118 / MAL LUNE MUSIC,2023,1,PHILY ASAP,Mi8,Ninho,,2021-12-03,,
66,SOFIA CARSON,,,,COME BACK HOME,MCA / WALT DISNEY RECORDS,2023,1,Eren Cannata,Dan Crean,Eren Cannata,Justin Tranter,2022-07-12,interpolation,Come Back Home (Stripped) - Sofia Carson
67,HEUSS L'ENFOIRÉ,,,,LA MARSEILLAISE,BELIEVE / 150 PRODUCTIONS / STRAW PROD,2023,1,Zeg P,,Ninho,Heuss L’enfoiré,2022-11-04,interpolation,La Marseillaise (Version courte) - Rouget de l’Isle
68,NOUR,,,,PREMIER AMOUR,MCA,2023,1,,,,,2022-10-07,,
69,RAYE,,,,ESCAPISM.,ORCHARD / HUMAN RE SOURCES,2023,1,Mike Sabath,,RAYE,Mike Sabath,2022-10-12,sample,Couldn’t Leave: Summer 2023 Megamix - Joseph James (DJ)
70,PLK,,,,ÉMOTIF,WAGRAM / PANENKA MUSIC,2023,1,,,Playboi Carti,,,interpolation,Paper - Playboi Carti
71,THE WEEKND,,,,SAVE YOUR TEARS,ISLAND DEF JAM / UNIVERSAL MUSIC,2023,1,The Weeknd,Max Martin,The Weeknd,Belly,2020-03-20,sample,Pain - Leeky G Bando
72,ORELSAN,,,,LA QUÊTE,WAGRAM / WAGRAM MUSIC / 3ÈME BUREAU,2023,1,Phazz,Skread,OrelSan,,2021-11-19,interpolation,CP_002_Les aventures de MiniSan - OrelSan
73,LOUANE,,,,SECRET,ISLAND DEF JAM,2023,1,Tristan Salvati,,Louane,,2022-10-09,interpolation,Secret (sad orchestra) - Louane
74,EARTH,WIND,FIRE,,SEPTEMBER,SONY MUSIC ENTERTAINMENT / COLUMBIA/LEGACY,2023,1,,,,,,,
75,CHRIS BROWN,,,,UNDER THE INFLUENCE,SONY MUSIC ENTERTAINMENT / CHRIS BROWN ENTERTAINMENT/RCA RECORDS,2023,1,KDDO,,Tiffany McKie,Davido,2019-10-04,sample,Aparkat (Yarım Kaldı) - Ege Boran
76,SZA,,,,KILL BILL,SONY MUSIC ENTERTAINMENT / TOP DAWG ENTERTAINMENT/RCA RECORDS,2023,1,Carter Lang,Rob Bisel,SZA,Rob Bisel,2022-12-09,sample,Couldn’t Leave: Summer 2023 Megamix - Joseph James (DJ)
77,DAMSO,,,,DIEU NE MENT JAMAIS,CAPITOL MUSIC FRANCE / CAPITOL,2023,1,DSK,,Damso,,2017-04-28,,
78,NINHO,,,,VVS,REC. 118 / MAL LUNE MUSIC,2023,1,Young KO,,Ninho,,2021-12-03,,
79,CÉLINE DION,,,,J'IRAI OÙ TU IRAS,SONY MUSIC ENTERTAINMENT / COLUMBIA,2023,1,Jean-Jacques Goldman,,Jean-Jacques Goldman,,1995-03-30,,
80,LOUISE ATTAQUE,,,,J'T'EMMÈNE AU VENT,LABEL PANTHEON / BARCLAY,2023,1,Gordon Gano,Warren Bruleigh,Gaëtan Roussel,,0997-04-22,interpolation,Artificiel - DJ Erise
81,VIANNEY,ED SHEERAN,,,CALL ON ME,BELIEVE / TÔT OU TARD,2023,1,Vianney,Ed Sheeran,Ed Sheeran,Vianney,2022-10-07,,
82,IMAGINE DRAGONS,,,,BONES,POLYDOR / INTERSCOPE RECORDS,2023,1,Mattman & Robin,,Dan Reynolds,Wayne Sermon,2022-03-11,sample,Radioactive Bones - Bongs237
83,INDOCHINE,,,,L'AVENTURIER,RCA GROUP / INDOCHINE RECORDS,2023,1,Patrick Chevalot,​Patrick Le Morvan,Nicola Sirkis,,1982-11-15,,
84,LOMEPAL,,,,DECRESCENDO,IDOL / PINÉALE,2023,1,Stwo,Pierrick Devin,Lomepal,,2022-09-16,,
85,TAYC,MARCUS,,,SALOMÉ,BELIEVE / PLAY TWO,2023,1,Nyadjiko,,Tayc,,2021-11-26,,
86,VACRA,,,,TIKI TAKA,CARTHAGE MUSIC,2023,1,MarvelPro,,Vacra,,2022-11-10,,
87,DAMSO,,,,MACARENA,CAPITOL MUSIC FRANCE / CAPITOL,2023,1,Double X,,Damso,,2017-04-28,sample,Normal - Fallon
88,KUNGS,,,,CLAP YOUR HANDS,ISLAND DEF JAM,2023,1,Kungs,,Kungs,MNDR,2022-02-18,sample,Happy Song - Babys Gang
89,CAMILA CABELLO,,,,BAM BAM,SONY MUSIC ENTERTAINMENT / EPIC,2023,1,Ricky Reed,Édgar Barrera,Scott Harris,Cheche Alara,2022-03-04,sample,Everything: 2022 Megamix - Joseph James (DJ)
90,ED SHEERAN,,,,BAD HABITS,WEA / ATLANTIC RECORDS UK,2023,1,Ed Sheeran,Fred again..,Ed Sheeran,Fred again..,2021-06-25,sample,Tino x Fumez The Engineer - Plugged In - Fumez The Engineer
91,LA PETITE CULOTTE,,,,LA GOFFA LOLITA,WARNER / PARLOPHONE (FRANCE),2023,1,,,,,,,
92,TIMAL,,,,FILTRÉ,CAPITOL MUSIC FRANCE / ARGENTIC MUSIC / CALIENTE RECO,2023,1,Noxious,,Gazo,Timal,2022-02-11,,
93,JUL,,,,BEUH À LA NOIX DE COCO,BELIEVE / D'OR ET DE PLATINE,2023,1,Art Hard Beats,,JuL,ADN Beats,2022-12-09,,
94,SCH,,,,LIF,WARNER / REC. 118,2023,1,Lil Ben,,SCH,Lil Ben,2022-10-27,interpolation,Le son qui met la pression - Lunatic
95,WERENOI,,,,SOLITAIRE,BELIEVE / PLR MUSIC & PGP RECORDS,2023,1,HuFel Beatz,,Werenoi,,2022-08-08,,
96,SDM,,,,REDESCENDS,CAPITOL MUSIC FRANCE / CAPITOL,2023,1,Ghenda,,SDM,Tiakola,2022-07-15,,
97,ROSALÍA,,,,LA FAMA,SONY MUSIC ENTERTAINMENT / COLUMBIA,2023,1,The Weeknd,ROSALÍA,El Guincho,Noah Goldstein,2021-11-11,interpolation,TOTO - Karmen (FRA)
98,RONISIA,,,,200 KM/H,SONY MUSIC ENTERTAINMENT / EPIC,2023,1,Heezy Lee,Noxious,Ronisia,Gazo,2022-12-09,,
99,DAVID GUETTA,KID CUDI,,,MEMORIES,WARNER / PARLOPHONE (FRANCE),2023,1,,,,,,,
100,GLASS ANIMALS,,,,HEAT WAVES,VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC,2023,1,Dave Bayley,,Dave Bayley,,2020-06-29,sample,Guess What’s Back - David0Mario
101,BURNA BOY,,,,LAST LAST,WEA / SPACESHIP/ BAD HABIT/ATLANTIC RECORDS,2023,1,Ruuben,MD$,Chopstix,Rodney Jerkins,2022-05-13,sample,He Wasn’t Man Enough - Toni Braxton
102,BEENDO Z,,,,PAS BÊTE,WARNER / GUETTE MUSIC,2023,1,Beatsbyisma,,Beendo Z,Beatsbyisma,2022-06-29,,
103,THE BLACK EYED PEAS,,,,I GOTTA FEELING,POLYDOR / INTERSCOPE RECORDS,2023,1,,,,,,,
104,LOMEPAL,,,,TROP BEAU,IDOL / PINÉALE,2023,1,Lomepal,Pierrick Devin,Lomepal,,2018-12-07,,
105,KERCHAK,,,,PEUR,SONY MUSIC ENTERTAINMENT / LABEL BLUE SKY,2023,1,Shiruken Music,Draco Dans Ta Face,Kerchak,Ziak,2022-09-23,,
106,TIAKOLA,,,,MODE AV,WATI-B,2023,1,Heezy Lee,Spectra (Producer),Gazo,Niska,2022-05-27,interpolation,PARKINSON - Gazo
107,TAYLOR SWIFT,,,,ANTI-HERO,ISLAND DEF JAM / UNIVERSAL MUSIC,2023,1,Jack Antonoff,Taylor Swift,Taylor Swift,Jack Antonoff,2022-10-21,sample,Everything: 2022 Megamix - Joseph James (DJ)
108,JOSMAN,,,,INTRO,SIDELINE,2023,1,Eazy Dew,Lucci’ (FRA),Josman,,2022-03-18,,
109,NINHO,REDVOLUTION,,,CAROLINA,BELIEVE / REDVOLUTION,2023,1,Gabbi (FRA),,Ninho,Gabbi (FRA),2022-10-21,,
110,ED SHEERAN,,,,SHIVERS,WEA / ATLANTIC RECORDS UK,2023,1,Ed Sheeran,Fred again..,Ed Sheeran,Kal Lavelle,2021-09-10,sample,A.T.E - Yung Nobre
111,JULIETTE ARMANET,,,,LE DERNIER JOUR DU DISCO,ROMANCE MUSIQUE,2023,1,Yuksek,Juliette Armanet,Diane Jacqus,Juliette Armanet,2021-09-17,,
112,DUA LIPA,,,,FEVER,WEA / WARNER RECORDS,2023,1,Ian Kirkpatrick,Tristan Salvati,Dua Lipa,Julia Michaels,2020-10-29,sample,Doing Fine - Synnie
113,ZED,,,,JOLI,BELIEVE / LDS PRODUCTION,2023,1,Nepta,Maz Beats (FRA),Zed,Nepta,2022-09-09,,
114,CKAY,,,,LOVE NWANTITI,WEA / WM SOUTH AFRICA,2023,1,CKay,,CKay,,2019-08-29,,
115,IMAGINE DRAGONS,,,,ENEMY,POLYDOR / INTERSCOPE RECORDS,2023,1,Mattman & Robin,,Justin Tranter,JID,2021-10-28,sample,‎the house 𝐏𝐀𝐑𝐓 𝐎𝐍𝐄 - ‎beenibroh
116,SIGALA,,,,ALL BY MYSELF,SONY MUSIC ENTERTAINMENT / COLUMBIA/B1 RECORDINGS,2023,1,Alok,Sigala,Ellie Goulding,Alok,2022-10-07,interpolation,Enjoy the Silence - Depeche Mode
117,LUCENZO,OLUPELLAR,,,MAMBELLA,BELIEVE / PLAY TWO,2023,1,,,Okikiolu Awoyele,Nello Fortes,2022-09-30,,
118,GAYLE,,,,ABCDEFU,WEA / ATLANTIC/ARTHOUSE RECORDS,2023,1,Pete Nappi,,GAYLE,Sara Davis,2021-08-13,sample,Abcde forgot the rest - Lil Woodryc
119,THE KID LAROI,,,,STAY,SONY MUSIC ENTERTAINMENT / COLUMBIA,2023,1,Cashmere Cat,Blake Slatkin,Finatik,Zac,2021-07-09,sample,​sirens r kinda scary - ‍xaev
120,ORELSAN,,,,JOUR MEILLEUR,3EME BUREAU,2023,1,Skread,,OrelSan,,2021-11-19,,
121,TONES AND I,,,,DANCE MONKEY,WEA / ELEKTRA (NEK),2023,1,Konstantin Kersting,,Tones and I,,2019-05-10,sample,2000-2019 mashup | 200 songs from the last 20 years - YamiNoBahamut
122,ADÉ,,,,TOUT SAVOIR,BELIEVE / TÔT OU TARD,2023,1,Adé (Chanteuse),Leslie Dupuis-Mendel,Adé (Chanteuse),,2022-04-19,,
123,DERMOT KENNEDY,,,,KISS ME,VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC,2023,1,Scott Harris,KOZ,Dermot Kennedy,Dan Smith,2022-09-02,,
124,BONEY M.,,,,RASPUTIN,SONY MUSIC ENTERTAINMENT / NITRON MUSIC,2023,1,Frank Farian,,George Reyam,Fred Jay,1978-08-28,sample,Mega Mix: Rivers of Babylon/Sunny/Daddy Cool/Ma Baker/Rasputin - Boney M.
125,SDM,,,,FRANKLIN SAINT,CAPITOL MUSIC FRANCE / CAPITOL,2023,1,Franklin (FRA),,SDM,Zed,2022-12-02,,
126,FRESH,,,,CHOP,BELIEVE / ICB RECORDS,2023,1,Jermaine Dupri,,Joseph James Holland,,2017-01-03,,
127,GAZO,,,,CELINE 3X,SONY MUSIC ENTERTAINMENT / BSB PROD,2023,1,Nardey,Scar (FRA),Gazo,Nardey,2022-05-11,sample,Dernière danse - Indila
128,DYSTINCT,,,,GHAZALI,SONY MUSIC ENTERTAINMENT / AVALON MUSIC,2023,1,Unleaded,YAM,Bryan Mg,DYSTINCT,2022-06-03,,
129,MASTER KG,NOMCEBO ZIKODE,,,JERUSALEMA,WARNER / ELEKTRA FRANCE,2023,1,Master KG,,Nomcebo Zikode,,2019-10-11,,
130,FRANGLISH,,,,SÉCU,CAPITOL MUSIC FRANCE / CAPITOL,2023,1,Seysey,,Franglish,Ninho,2022-10-28,,
131,JUL,,,,CANETTE DANS LES MAINS,BELIEVE / D'OR ET DE PLATINE,2023,1,Kakou,,JuL,Kakou,2022-12-09,,
132,JUL,,,,C'EST PAS LA MAIRIE,BELIEVE / D'OR ET DE PLATINE,2023,1,Hussin Beats,,JuL,Kvra,2022-12-09,,
133,PARTENAIRE PARTICULIER,,,,PARTENAIRE PARTICULIER,MCA / UMSM,2023,1,,,Éric Fettweiss,Pierre Béraud-Sudreau,,sample,Les Claviers - SUMMERGOD
134,TIAKOLA,,,,LA CLÉ,SONY MUSIC ENTERTAINMENT / WATI-B,2023,1,Boumidjal,D1gri,Tiakola,Boumidjal,2021-12-23,,
135,OFENBACH,FAST BOY,,,LOVE ME NOW,WARNER / ELEKTRA FRANCE,2023,1,Dom Lyttle,Ofenbach,César Laurent de Rummel,Dom Lyttle,2022-09-06,,
136,JUL,,,,LE 100 LE 100,BELIEVE / D'OR ET DE PLATINE,2023,1,Handy y Kap’z,Rkaz,JuL,,2022-12-09,,
137,MIG,,,,PAS DE RALENTIR 3,VIRGIN RECORDS FRANCE / VIRGIN RECORDS,2023,1,Melo (FRA),,Mig,Melo (FRA),2023-01-01,,
138,AYA NAKAMURA,,,,SMS,WARNER / REC. 118,2023,1,Shiruken Music,Hard Level,Aya Nakamura,,2022-12-01,sample,Mon soleil - Princess Lover
139,KATE BUSH,,,,RUNNING UP THAT HILL,CATALOGUE MARKETING CLASSIQUE / PARLOPHONE,2023,1,Honey Gentry,,Kate Bush,,2017-04-06,,
140,STROMAE,,,,ALORS ON DANSE,POLYDOR / MOSAERT,2023,1,Stromae,,Stromae,,2009-09-26,sample,Bon Appétit - Kabe
141,LUJIPEKA,,,,POUPÉE RUSSE,INITIAL ARTIST SERVICES,2023,1,Kiyane,,Lujipeka,,2021-07-15,,
142,DUA LIPA,DABABY,,,LEVITATING,WEA / WARNER RECORDS,2023,1,,,,,,,
143,EURYTHMICS,,,,SWEET DREAMS,SONY MUSIC ENTERTAINMENT / SONY BMG MUSIC UK,2023,1,Adam Williams,David A. Stewart,David A. Stewart,Annie Lennox,1983-01-21,sample,Cocaine - Dice
144,EMINEM,,,,MOCKINGBIRD,POLYDOR / UNIVERSAL MUSIC,2023,1,Luis Resto,Eminem,Eminem,Luis Resto,2004-11-12,sample,1995 - Samra
145,SDM,,,,FAME,CAPITOL MUSIC FRANCE / CAPITOL,2023,1,Noxious,,SDM,Niska,2022-12-02,,
146,DISIZ,,,,RENCONTRE,CAPITOL MUSIC FRANCE / ARGENTIC MUSIC,2023,1,LUCASV,Augustin Charnet,Damso,Disiz,2022-03-17,,
147,LETO ET GUY2BEZBAR,,,,SOSA,REC 118 / WB PRODUCTIONS / REC. 118/WB PRODUCTIONS,2023,1,,,,,,,
148,MIG,,,,QUAND J'Y REPENSE,VIRGIN RECORDS FRANCE,2023,1,Boumidjal,HoloMobb,Mig,Tiakola,2022-09-30,,
149,NINHO,,,,LETTRE A UNE FEMME,WARNER SPECIAL MARKETING,2023,1,Croisade,Heezy Lee,Ninho,,2020-03-07,interpolation,Lettre à une femme - Dinor Rdt
150,DON OMAR,,,,DANZA KUDURO,ISLAND DEF JAM / UNIVERSAL MUSIC,2023,1,Lucenzo,Faouze Barkati,Don Omar,Lucenzo,2010-08-15,sample,Danza Kuduro - DJ Sanny J & Daniel Tek
151,CKAY,,,,EMILIANA,WEA / WM SOUTH AFRICA,2023,1,BMH,CKay,CKay,BMH,2021-12-03,sample,Kiss Me Thru The Phone - Soulja Boy
152,AYA NAKAMURA,DAMSO,,,DÉGAINE,WARNER / REC. 118,2023,1,Machynist,,Aya Nakamura,Damso,2022-03-09,interpolation,Coeur De Pirate - Damso
153,IMAGINE DRAGONS,,,,SYMPHONY,POLYDOR / INTERSCOPE RECORDS,2023,1,Joel Little,,Dan Reynolds,Wayne Sermon,2022-07-01,,
154,SDM,,,,JACQUE*** BAG,CAPITOL MUSIC FRANCE / CAPITOL,2023,1,H8MKRZ,,SDM,H8MKRZ,2022-12-02,,
155,MENTISSA,,,,ET BAM,BELIEVE / TÔT OU TARD,2023,1,Vianney,,Vianney,,2021-11-11,,
156,SHOUSE,,,,LOVE TONIGHT,HELL BEACH,2023,1,Shouse,,Jack Madin,Ed Service,2017-12-14,sample,Du-Bye - Digga D
157,DINOS,,,,PLACEBO,BECAUSE / SPKTAQLR,2023,1,Heizenberg,Chapo,Dinos,,2018-12-07,,
158,OBOY,,,,TDB,BELIEVE / SYNDICATE RECORDS,2023,1,Le Side,,OBOY,,2021-07-02,,
