classement,artiste,artiste_2,artiste_3,artiste_4,titre,editeur,annee,semaine,producer_1,producer_2,writer_1,writer_2,release_date,sample_type,sample_from
1,ZOLA,,,,AMBER,SONY MUSIC ENTERTAINMENT / AWA,2023,1,Kore,Aurélien Mazin,Zola,Kore,2022-11-18,,
2,REMA,,,,CALM DOWN,VIRGIN RECORDS FRANCE,2023,1,Andre Vibez,ThisizLondon,Rema,,2022-02-11,sample,Drake Bussy - Fetus Blasters
3,GAZO,,,,DIE,BSB PROD,2023,1,Dallas,,Gazo,Dallas,2022-07-01,interpolation,Where Did I Put That Thing? / Bibbidi-Bobbidi-Boo - Oliver Wallace
4,DAVID GUETTA,,,,I'M GOOD,WARNER / PARLOPHONE UK,2023,1,,,,,,,
5,MAES,,,,FETTY WAP,CAPITOL MUSIC FRANCE / OMERTA 47 RECORDS,2023,1,HRNN,Nino Vella,Maes,HRNN,2022-11-09,,
6,ROSALÍA,,,,DESPECHÁ,SONY MUSIC ENTERTAINMENT / COLUMBIA,2023,1,Chris Jedi,Gaby Music,ROSALÍA,Chris Jedi,2022-07-28,sample,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56/66 - Bizarrap"
7,CENTRAL CEE,,,,LET GO,ADA FRANCE / CENTRAL CEE,2023,1,Nastylgia,KwolleM,Central Cee,Nastylgia,2022-12-15,sample,Let Her Go - Passenger
8,GALA,,,,FREED FROM DESIRE,BELIEVE / DO IT YOURSELF,2023,1,Molella,Phil Jay,Gala,Molella,1996-10-23,sample,3 ÉTOILES - Yanslo
9,SDM,,,,MR. OCHO,CAPITOL MUSIC FRANCE / CAPITOL,2023,1,H8MKRZ,,SDM,H8MKRZ,2022-12-02,,
10,SAM SMITH,,,,UNHOLY,CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC,2023,1,Blake Slatkin,Cirkut,Sam Smith,Kim Petras,2022-09-22,sample,Everything: 2022 Megamix - Joseph James (DJ)
11,HARRY STYLES,,,,AS IT WAS,SONY MUSIC ENTERTAINMENT / COLUMBIA,2023,1,Tyler Johnson,Kid Harpoon,Kid Harpoon,Tyler Johnson,2022-04-01,sample,Take on Me - a-ha
12,ONE REPUBLIC,,,,I AIN'T WORRIED,POLYDOR / UNIVERSAL MUSIC,2023,1,Ryan Tedder,Brent Kutzle,Björn Yttling,Tyler Spry,2022-05-13,sample,Young Folks - Peter Bjorn and John
13,RK,,,,LOLA,CAPITOL MUSIC FRANCE / LES RESCAPES,2023,1,SHK,,RK,SHK,2022-10-05,,
14,TOM ODELL,,,,ANOTHER LOVE,COLUMBIA / ITNO/COLUMBIA,2023,1,Dan Grech-Marguerat,,Tom Odell,,2012-10-15,sample,Daleko stąd - Gospel
15,BEYONCÉ,,,,CUFF IT,COLUMBIA / PARKWOOD ENTERTAINMENT/COLUMBIA,2023,1,Beyoncé,NOVA WAV,Beyoncé,Raphael Saadiq,2022-07-29,sample,Square Biz - Teena Marie
16,ZEG P,,,,FADE UP,BELIEVE / ON DA TRAX,2023,1,Zeg P,,SCH,Hamza,2022-06-24,,
17,ROSA LINN,,,,SNAP,SONY MUSIC ENTERTAINMENT / COLUMBIA,2023,1,Alex Salibian,Ethan Schneiderman,Rosa Linn,Larzz Principato,2022-03-19,sample,Everything: 2022 Megamix - Joseph James (DJ)
18,METRO BOOMIN,THE WEEKND,,,CREEPIN',ISLAND DEF JAM / UNIVERSAL MUSIC,2023,1,Metro Boomin,DaHeala,Metro Boomin,21 Savage,2022-12-02,sample,Boadicea - Enya
19,PIERRE DE MAERE,,,,UN JOUR JE MARIERAI UN ANGE,WAGRAM / CINQ 7,2023,1,Marso (FRA),,Marso (FRA),Pierre de Maere,2021-11-08,,
20,ALONZO,,,,TOUT VA BIEN,SONY MUSIC ENTERTAINMENT / ONLY PRO,2023,1,SHK,Scar (FRA),Ninho,Naps,2022-05-20,,
21,SOOLKING,,,,BALADER,CAPITOL MUSIC FRANCE / CAPITOL,2023,1,MKL,,Niska,Soolking,2022-05-27,,
