classement,artiste,artiste_2,artiste_3,artiste_4,titre,editeur,annee,semaine,producer_1,producer_2,writer_1,writer_2,release_date,sample_type,sample_from
1,DUA LIPA,,,,FEVER,WARNER / WARNER RECORDS,2021,1,Ian Kirkpatrick,Tristan Salvati,Dua Lipa,Julia Michaels,2020-10-29,sample,Doing Fine - Synnie
2,JUL,SCH,,,MOTHER FUCK,BELIEVE / D'OR ET DE PLATINE,2021,1,JuL,,JuL,SCH,2020-12-10,,
3,KOFS,SOSO MANESS,ELAMS,JUL,BANDE ORGANISÉE,BELIEVE / RIEN 100 RIEN,2021,1,JuL,,Solda (FRA),Elams,2020-08-15,sample,Jersey Drill #2 - Sto
4,EVA,,,,CŒUR NOIR,MCA / ALDAM PRODUCTION,2021,1,Seysey,,Many,Eva,2020-12-04,,
5,SCH,HORNET LA FRAPPE,LETO,SADEK,LA VIE DU BINKS,WARNER / REC. 118,2021,1,GRAUX,RDS,SCH,Soprano,2021-01-01,,
6,LANDY,,,,ENFANTS TERRIBLES,BELIEVE / 109 RECORD,2021,1,Exi (FRA),Atlas On The Track,Ninho,Landy,2020-12-18,,
7,LANDY,NISKA,,,MILLIONS D'EUROS,BELIEVE / 109 RECORD,2021,1,Million Man,,Niska,Landy,2020-11-25,,
8,LANDY,,,,MÉDUSA,109 RECORD,2021,1,DMS (FRA),WMK,Landy,,2020-12-18,,
9,NINHO,,,,TOUT EN GUCCI,REC. 118 / MAL LUNE MUSIC,2021,1,Lil Ben,,Ninho,,2020-10-30,,
10,NAZA,NISKA,,,JOLI BÉBÉ,CAPRICAROLESQUE,2021,1,DJ Erise,Latimer,Niska,Naza,2020-09-11,,
11,AYA NAKAMURA,STORMZY,,,PLUS JAMAIS,REC118 / REC. 118,2021,1,Timo (Producer),Black Yohda,Stormzy,Aya Nakamura,2020-11-13,,
12,THE WEEKND,,,,BLINDING LIGHTS,ISLAND DEF JAM / UNIVERSAL MUSIC,2021,1,The Weeknd,Max Martin,The Weeknd,Oscar Holter,2019-11-29,sample,Pulsar City Alarm - Adams & Fleisner
13,DADJU,,,,DIEU MERCI,POLYDOR,2021,1,Seysey,Dadju,Tiakola,Dadju,2020-10-09,sample,DANÇARINA (Remix) - PEDRO SAMPAIO
14,24KGOLDN,IANN DIOR,,,MOOD,RECORDS/COLUMBIA,2021,1,Blake Slatkin,KBeaZy,KBeaZy,Omer Fedi,2020-07-24,sample,If Guitar Riffs Were Lyrics - Steve Terreberry
15,BAD BUNNY,JHAY CORTEZ,,,DÁKITI,RIMAS ENTERTAINMENT LLC,2021,1,La Paciencia,Tainy,Nydia Laner,Mora,2020-10-30,sample,Bad Guy - Tom MacDonald
16,JUL,,,,LOIN DE TOUT,BELIEVE / D'OR ET DE PLATINE,2021,1,Kakou,,JuL,Wejdene,2020-12-18,interpolation,Was macht sie gerade - Massiv
17,VIANNEY,,,,BEAU-PAPA,TÔT OU TARD,2021,1,Vianney,,Vianney,,2020-08-21,,
18,HEUSS L'ENFOIRÉ,VALD,,,CANADA,BELIEVE / 150 PRODUCTIONS / ECHELON RECORDS,2021,1,Seezy,Zeg P,Vald,Heuss L’enfoiré,2020-12-18,,
19,MASTER KG,NOMCEBO ZIKODE,,,JERUSALEMA,WARNER / ELEKTRA FRANCE,2021,1,Master KG,,Nomcebo Zikode,,2019-10-11,,
20,MAÎTRE GIMS,,,,JUSQU'ICI TOUT VA BIEN,PLAY TWO,2021,1,GIMS,Renaud Rebillaud,Vitaa,GIMS,2020-11-06,,
21,CJ,,,,WHOOPTY,WEA / CJ MUSIC GROUP,2021,1,Pxcoyo,,Pxcoyo,Mithoon,2020-07-30,sample,Sanam Re - Mithoon
22,LETO,NINHO,,,VIE DE STAR,WARNER / REC. 118,2021,1,Shiruken Music,,Ninho,Leto,2021-01-01,,
23,KOBA LAD,,,,COFFRE PLEIN,CAPITOL MUSIC FRANCE / MILLENIUM,2021,1,Ken & Ryu,Heizenberg,Zed,Maes,2020-10-22,,
24,PLK,,,,PILOTE,PANENKA MUSIC,2021,1,Neo Maestro,BGRZ,Hamza,PLK,2020-08-28,,
25,INTERNET MONEY,,,,LEMONADE,CAROLINE FRANCE / CAROLINE INT. MD P&D,2021,1,Taz Taylor,Nick Mira,Taz Taylor,Nick Mira,2020-08-14,sample,Lemonade - Jozzy
26,DJADJA,DINAZ,,,PERDU,CARRÉ MUSIC,2021,1,Yannis Wade,,Dinaz,Djadja,2020-12-10,,
27,DUA LIPA,DABABY,,,LEVITATING,WARNER / WARNER RECORDS,2021,1,,,,,,,
28,OBOY,,,,CABEZA,SYNDICATE RECORDS,2021,1,​mammouth,,OBOY,,2020-07-03,,
29,ROBIN SCHULZ,KIDDO,,,ALL WE GOT,WARNER / WM GERMANY,2021,1,Robin Schulz,JUNKX,Robin Schulz,Stefan Dabruck,2020-10-16,,
30,ZOLA,SCH,,,9 1 1 3,AWA,2021,1,NASKID,Aurélien Mazin,SCH,Zola,2020-11-20,,
31,HATIK,,,,LA MEILLEURE,ISLAND DEF JAM / BENDO / LOW WOOD,2021,1,Medeline,,Jok’Air,Hatik,2020-03-06,,
32,TONES AND I,,,,DANCE MONKEY,WEA / ELEKTRA (NEK),2021,1,Konstantin Kersting,,Tones and I,,2019-05-10,sample,2000-2019 mashup | 200 songs from the last 20 years - YamiNoBahamut
33,JUL,,,,LA PASSAT,D'OR ET DE PLATINE,2021,1,JAYSx15,Ysos,JuL,,2020-12-18,,
34,JOK'AIR,,,,ELLES ONT TROP JOUÉ AVEC MON CŒUR,WARNER / WM FR AFFILIATED/PLAY TWO,2021,1,Thomas André,,Jok’Air,,2020-12-11,,
35,BOSH,,,,SLIDE,ARISTA FRANCE,2021,1,Mounchild,Blaise Keys,Bosh,,2020-10-23,,
36,AYA NAKAMURA,,,,LA MACHINE,REC. 118,2021,1,Ever Mihigo,Some-1ne,Aya Nakamura,,2020-11-13,,
37,HATIK,,,,"1,2,3",ISLAND DEF JAM / BENDO / LOW WOOD,2021,1,Renaud Rebillaud,,Vitaa,Dadju,2020-10-30,,
38,BLACK EYED PEAS,,,,GIRL LIKE ME,POLYDOR,2021,1,Johnny Goldstein,Shakira,Shakira,Tim Mitchell,2020-06-19,interpolation,Girl Like You - will.i.am
39,QUARTERHEAD,,,,HEAD SHOULDERS KNEES AND TOES,WARNER / ELEKTRA FRANCE,2021,1,Quarterhead,Ofenbach,Dorian Lauduique,César Laurent de Rummel,2020-05-08,,
40,SIA,,,,SNOWMAN,MONKEY PUZZLE/ATLANTIC,2021,1,Greg Kurstin,,Sia,Greg Kurstin,2017-11-10,,
41,DJ KAYZ,,,,MONTE LE SON,WAGRAM / JUSTON RECORDS,2021,1,Slam,Djaresma,Niska,,2020-10-02,,
42,JUL,,,,LA PHARMACIE,D'OR ET DE PLATINE,2021,1,JuL,,JuL,,2020-12-18,,
43,LANDY,,,,MA WERSS,BELIEVE / 109 RECORD,2021,1,Tommy On The Track,,Soolking,Landy,2020-12-18,,
44,GRAND CORPS MALADE,,,,MAIS JE T'AIME,CAROLINE FRANCE / ANOUCHE PRODUCTIONS,2021,1,Camille Lellouche,,Camille Lellouche,Grand Corps Malade,2020-06-19,,
